worker_ID,tweet_ID,more_novel,equally_novel,less_novel,NA
22222103,entity/text/news/tweet/38789,0,1,0,0
30137403,entity/text/news/tweet/38789,0,1,0,0
24449707,entity/text/news/tweet/38789,0,0,1,0
8260660,entity/text/news/tweet/38789,0,0,1,0
19302668,entity/text/news/tweet/38789,1,0,0,0
28790780,entity/text/news/tweet/38789,0,1,0,0
14571439,entity/text/news/tweet/38789,0,1,0,0
33761260,entity/text/news/tweet/38789,1,0,0,0
33294824,entity/text/news/tweet/38789,1,0,0,0
27042527,entity/text/news/tweet/38789,0,1,0,0
29688905,entity/text/news/tweet/38789,1,0,0,0
32353289,entity/text/news/tweet/38789,0,1,0,0
3587109,entity/text/news/tweet/38789,0,1,0,0
29248520,entity/text/news/tweet/38789,0,1,0,0
31304413,entity/text/news/tweet/38789,0,1,0,0
28884030,entity/text/news/tweet/38789,0,0,0,1
32338429,entity/text/news/tweet/38789,0,1,0,0
13581319,entity/text/news/tweet/38789,1,0,0,0
21665495,entity/text/news/tweet/38789,0,0,0,1
16682358,entity/text/news/tweet/38789,0,1,0,0
33500282,entity/text/news/tweet/38789,1,0,0,0
15577915,entity/text/news/tweet/38789,1,0,0,0
32352104,entity/text/news/tweet/38789,1,0,0,0
33386576,entity/text/news/tweet/38789,1,0,0,0
33793607,entity/text/news/tweet/38789,0,1,0,0
28103910,entity/text/news/tweet/38789,1,0,0,0
33721948,entity/text/news/tweet/38789,0,1,0,0
17950689,entity/text/news/tweet/38789,0,1,0,0
16101132,entity/text/news/tweet/38789,0,1,0,0
28524232,entity/text/news/tweet/38789,0,1,0,0
21665495,entity/text/news/tweet/38789,0,1,0,0
33500282,entity/text/news/tweet/38789,1,0,0,0
15577915,entity/text/news/tweet/38789,0,0,1,0
33386576,entity/text/news/tweet/38789,1,0,0,0
28103910,entity/text/news/tweet/38789,0,1,0,0
33793607,entity/text/news/tweet/38789,0,1,0,0
33721948,entity/text/news/tweet/38789,0,1,0,0
17950689,entity/text/news/tweet/38789,0,1,0,0
16101132,entity/text/news/tweet/38789,0,1,0,0
28524232,entity/text/news/tweet/38789,0,1,0,0
6344072,entity/text/news/tweet/38789,0,1,0,0
20043586,entity/text/news/tweet/38789,1,0,0,0
19913374,entity/text/news/tweet/38789,0,1,0,0
32281591,entity/text/news/tweet/38789,0,0,1,0
4688131,entity/text/news/tweet/38789,0,0,1,0
21665495,entity/text/news/tweet/38789,0,1,0,0
16682358,entity/text/news/tweet/38789,0,0,1,0
33500282,entity/text/news/tweet/38789,1,0,0,0
15577915,entity/text/news/tweet/38789,1,0,0,0
32352104,entity/text/news/tweet/38789,0,1,0,0
33386576,entity/text/news/tweet/38789,1,0,0,0
28103910,entity/text/news/tweet/38789,0,1,0,0
33793607,entity/text/news/tweet/38789,0,1,0,0
33721948,entity/text/news/tweet/38789,0,1,0,0
17950689,entity/text/news/tweet/38789,0,1,0,0
16101132,entity/text/news/tweet/38789,0,1,0,0
28524232,entity/text/news/tweet/38789,0,1,0,0
6344072,entity/text/news/tweet/38789,0,1,0,0
20043586,entity/text/news/tweet/38789,0,1,0,0
19913374,entity/text/news/tweet/38789,0,1,0,0
28884030,entity/text/news/tweet/38789,0,0,0,1
31613324,entity/text/news/tweet/38789,0,1,0,0
33538351,entity/text/news/tweet/38789,1,0,0,0
29849805,entity/text/news/tweet/38789,1,0,0,0
22535866,entity/text/news/tweet/38789,1,0,0,0
32053642,entity/text/news/tweet/38789,1,0,0,0
2143114,entity/text/news/tweet/38789,0,0,1,0
21490235,entity/text/news/tweet/38789,1,0,0,0
33565158,entity/text/news/tweet/38789,0,1,0,0
6309240,entity/text/news/tweet/38789,0,1,0,0
33903622,entity/text/news/tweet/38789,0,1,0,0
33727304,entity/text/news/tweet/38789,0,1,0,0
20113482,entity/text/news/tweet/38789,0,0,1,0
32338429,entity/text/news/tweet/38789,0,1,0,0
13581319,entity/text/news/tweet/38789,1,0,0,0
32281591,entity/text/news/tweet/38789,0,1,0,0
4688131,entity/text/news/tweet/38789,0,0,1,0
9653950,entity/text/news/tweet/38789,0,1,0,0
20929875,entity/text/news/tweet/38789,1,0,0,0
33725995,entity/text/news/tweet/38789,0,1,0,0
29216552,entity/text/news/tweet/38789,0,1,0,0
33057016,entity/text/news/tweet/38789,0,1,0,0
29096504,entity/text/news/tweet/38789,0,1,0,0
33467170,entity/text/news/tweet/38789,0,1,0,0
25257275,entity/text/news/tweet/38789,1,0,0,0
22222103,entity/text/news/tweet/38789,0,1,0,0
30137403,entity/text/news/tweet/38789,1,0,0,0
24449707,entity/text/news/tweet/38789,1,0,0,0
8260660,entity/text/news/tweet/38789,1,0,0,0
19302668,entity/text/news/tweet/38789,1,0,0,0
32281591,entity/text/news/tweet/38789,0,1,0,0
4688131,entity/text/news/tweet/38789,0,0,1,0
9653950,entity/text/news/tweet/38789,1,0,0,0
20929875,entity/text/news/tweet/38789,1,0,0,0
33725995,entity/text/news/tweet/38789,0,1,0,0
29216552,entity/text/news/tweet/38789,0,1,0,0
33057016,entity/text/news/tweet/38789,0,1,0,0
29096504,entity/text/news/tweet/38789,0,1,0,0
33467170,entity/text/news/tweet/38789,0,1,0,0
25257275,entity/text/news/tweet/38789,1,0,0,0
22222103,entity/text/news/tweet/38789,0,1,0,0
30137403,entity/text/news/tweet/38789,1,0,0,0
24449707,entity/text/news/tweet/38789,1,0,0,0
8260660,entity/text/news/tweet/38789,1,0,0,0
19302668,entity/text/news/tweet/38789,1,0,0,0
28884030,entity/text/news/tweet/38893,0,0,0,1
31613324,entity/text/news/tweet/38893,0,1,0,0
33538351,entity/text/news/tweet/38893,1,0,0,0
29849805,entity/text/news/tweet/38893,0,1,0,0
22535866,entity/text/news/tweet/38893,0,0,1,0
32053642,entity/text/news/tweet/38893,0,0,1,0
2143114,entity/text/news/tweet/38893,1,0,0,0
21490235,entity/text/news/tweet/38893,1,0,0,0
33565158,entity/text/news/tweet/38893,0,1,0,0
6309240,entity/text/news/tweet/38893,0,0,1,0
33903622,entity/text/news/tweet/38893,0,1,0,0
33727304,entity/text/news/tweet/38893,0,1,0,0
20113482,entity/text/news/tweet/38893,0,0,1,0
32338429,entity/text/news/tweet/38893,0,1,0,0
13581319,entity/text/news/tweet/38893,1,0,0,0
24449707,entity/text/news/tweet/38893,0,0,1,0
8260660,entity/text/news/tweet/38893,0,1,0,0
19302668,entity/text/news/tweet/38893,1,0,0,0
28790780,entity/text/news/tweet/38893,0,1,0,0
14571439,entity/text/news/tweet/38893,0,1,0,0
33761260,entity/text/news/tweet/38893,0,1,0,0
33294824,entity/text/news/tweet/38893,0,1,0,0
27042527,entity/text/news/tweet/38893,0,1,0,0
29688905,entity/text/news/tweet/38893,0,1,0,0
32353289,entity/text/news/tweet/38893,0,0,1,0
3587109,entity/text/news/tweet/38893,0,1,0,0
29248520,entity/text/news/tweet/38893,0,0,1,0
31304413,entity/text/news/tweet/38893,0,1,0,0
32916723,entity/text/news/tweet/38893,0,1,0,0
32840743,entity/text/news/tweet/38893,0,1,0,0
21665495,entity/text/news/tweet/38853,0,1,0,0
16682358,entity/text/news/tweet/38853,0,1,0,0
33500282,entity/text/news/tweet/38853,0,0,1,0
15577915,entity/text/news/tweet/38853,1,0,0,0
32352104,entity/text/news/tweet/38853,0,1,0,0
33386576,entity/text/news/tweet/38853,1,0,0,0
28103910,entity/text/news/tweet/38853,0,1,0,0
33793607,entity/text/news/tweet/38853,0,1,0,0
33721948,entity/text/news/tweet/38853,0,1,0,0
17950689,entity/text/news/tweet/38853,0,1,0,0
16101132,entity/text/news/tweet/38853,0,1,0,0
28524232,entity/text/news/tweet/38853,0,1,0,0
6344072,entity/text/news/tweet/38853,0,1,0,0
20043586,entity/text/news/tweet/38853,0,0,1,0
19913374,entity/text/news/tweet/38853,0,1,0,0
6344072,entity/text/news/tweet/38853,0,1,0,0
20043586,entity/text/news/tweet/38853,0,1,0,0
19913374,entity/text/news/tweet/38853,0,1,0,0
32281591,entity/text/news/tweet/38853,1,0,0,0
4688131,entity/text/news/tweet/38853,0,0,1,0
9653950,entity/text/news/tweet/38853,0,1,0,0
22166359,entity/text/news/tweet/38853,1,0,0,0
20929875,entity/text/news/tweet/38853,0,1,0,0
33725995,entity/text/news/tweet/38853,0,1,0,0
29216552,entity/text/news/tweet/38853,0,1,0,0
2803291,entity/text/news/tweet/38853,0,1,0,0
33057016,entity/text/news/tweet/38853,0,1,0,0
29096504,entity/text/news/tweet/38853,0,1,0,0
33467170,entity/text/news/tweet/38853,0,1,0,0
25257275,entity/text/news/tweet/38853,0,1,0,0
28884030,entity/text/news/tweet/38853,0,0,0,1
32338429,entity/text/news/tweet/38853,0,1,0,0
13581319,entity/text/news/tweet/38853,1,0,0,0
21665495,entity/text/news/tweet/38853,0,1,0,0
16682358,entity/text/news/tweet/38853,0,1,0,0
33500282,entity/text/news/tweet/38853,0,0,1,0
15577915,entity/text/news/tweet/38853,0,0,1,0
32352104,entity/text/news/tweet/38853,0,1,0,0
33386576,entity/text/news/tweet/38853,0,0,1,0
33793607,entity/text/news/tweet/38853,0,1,0,0
28103910,entity/text/news/tweet/38853,0,1,0,0
33721948,entity/text/news/tweet/38853,0,1,0,0
17950689,entity/text/news/tweet/38853,0,1,0,0
16101132,entity/text/news/tweet/38853,0,0,0,1
28524232,entity/text/news/tweet/38853,0,1,0,0
32281591,entity/text/news/tweet/38853,0,1,0,0
4688131,entity/text/news/tweet/38853,0,0,1,0
9653950,entity/text/news/tweet/38853,0,1,0,0
20929875,entity/text/news/tweet/38853,0,1,0,0
33725995,entity/text/news/tweet/38853,0,1,0,0
29216552,entity/text/news/tweet/38853,0,1,0,0
33057016,entity/text/news/tweet/38853,0,1,0,0
29096504,entity/text/news/tweet/38853,0,1,0,0
33467170,entity/text/news/tweet/38853,0,1,0,0
25257275,entity/text/news/tweet/38853,0,1,0,0
22222103,entity/text/news/tweet/38853,0,1,0,0
30137403,entity/text/news/tweet/38853,1,0,0,0
8260660,entity/text/news/tweet/38853,0,1,0,0
19302668,entity/text/news/tweet/38853,1,0,0,0
28790780,entity/text/news/tweet/38853,0,1,0,0
28884030,entity/text/news/tweet/38910,0,0,0,1
31613324,entity/text/news/tweet/38910,0,1,0,0
33538351,entity/text/news/tweet/38910,1,0,0,0
29849805,entity/text/news/tweet/38910,1,0,0,0
22535866,entity/text/news/tweet/38910,1,0,0,0
32053642,entity/text/news/tweet/38910,1,0,0,0
2143114,entity/text/news/tweet/38910,1,0,0,0
21490235,entity/text/news/tweet/38910,1,0,0,0
33565158,entity/text/news/tweet/38910,1,0,0,0
6309240,entity/text/news/tweet/38910,1,0,0,0
