_unit_id,_id,_worker_id,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,ptid1,ptid2,seedindex1,seedindex2,text1,text2
770177869,1710996228,2143114,true,,4,,,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1710998765,33294824,true,5,3,9,4,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711023592,22535866,true,9,NA,,4,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711025900,6344072,true,5,3,9,4,,5,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711030401,32799278,true,9,4,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711036706,31743852,true,2,0,5,2,8,3,9,4,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711048313,33903622,true,8,0,9,1,,2,,3,,4,,5,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711059666,4688131,true,8,,9,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711137882,3587109,true,7,1,8,2,9,4,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711141148,19913374,true,9,4,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711146997,20113482,true,5,0,8,1,9,2,,4,,3,,5,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711194960,9653950,true,4,0,5,1,6,2,7,3,8,4,9,5,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711223671,31304413,true,8,4,9,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711230966,33565158,true,,0,,1,,2,,3,,4,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177869,1711235705,20043586,true,4,1,5,2,,0,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38741,0903tid010,0903tid019,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SeaWorld secretly funds Japanese whaling ships!!!!!!!
770177870,1710996219,2143114,true,,6,,,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1710998768,33294824,true,8,8,5,,,NA,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711023590,22535866,true,9,8,,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711025895,6344072,true,5,4,9,6,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711030394,32799278,true,9,6,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711036704,31743852,true,5,,7,,8,,9,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711048312,33903622,true,8,4,9,3,,6,,8,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711059665,4688131,true,8,,9,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711137868,3587109,true,5,4,7,6,8,,9,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711141144,19913374,true,9,6,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711146999,20113482,true,5,3,8,4,9,5,,6,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711194969,9653950,true,4,2,5,3,6,4,7,5,8,6,9,8,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711223670,31304413,true,8,6,9,8,,,,,,,,,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711230962,33565158,true,4,3,5,4,8,5,7,6,9,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177870,1711235700,20043586,true,4,4,5,3,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38897,0903tid010,0903tid020,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,@SavetheDolphin1 @OrcaSOS Y6 balanced arguments about whaling. #sharedwrite #againstwhaling
770177871,1711365357,15577915,true,5,,7,,8,,9,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711375307,33467170,true,9,5,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711393706,33721948,true,9,5,,,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711394984,29849805,true,5,5,8,6,9,10,,11,,12,,8,,,,,,,true,false,false,false,false,false,true,false,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711395311,16101132,false,,,,,,,,,,,,,,,,,,,false,false,false,false,true,true,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711406183,32338429,true,8,5,9,6,,,,,,,,,,,,,,,true,false,false,false,false,false,false,true,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
770177871,1711430448,25745953,true,8,,9,,,,,,,,,,,,,,,,true,false,false,true,false,false,false,false,entity/text/news/tweet/38841,entity/text/news/tweet/38583,0903tid010,0903tid021,ell our Government to urge Japan to end 'scientific whaling' once and for all.   via @ifawuk,National Anthems of Great Current Whaling Nations - Greenland - #Tweet4Taiji #TheCove #SeaShepherd
