worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33903622,1,18,1,0,0,0.05,0,5.74,4,0.87,0.56,0,0,0,0,0,0
33793607,0,20,0,0,0,0,1,5.25,NONE,0.88,0.57,0,0,0,0,0,0
33761260,4,4,4,6,0.3333333333333333,0.222222222222222,0,3.5,2,0.43,0.28,0,0,0,0,0,0
33727304,4,12,4,0,0,0.2,0,4.56,1.75,0.7,0.45,0,0,0,0,0,0
33725995,0,18,0,2,0.1,0,0,5.83,NONE,0.8,0.53,0,0,0,0,0,0
33721948,0,20,0,0,0,0,1,1.8,NONE,0.88,0.57,0,0,0,0,0,0
33565158,2,14,2,2,0.1,0.1,0,4,0,0.73,0.48,0,0,0,0,0,0
33538351,8,4,8,0,0,0.4,0,4.17,1.75,0.43,0.28,0,0,0,0,0,0
33500282,10,0,10,0,0,0.5,0,6.8,0,0.27,0.18,1,1,0,0,0,0
33467170,0,20,0,0,0,0,1,1,NONE,0.9,0.59,0,0,0,0,0,0
33386576,7,2,7,4,0.2,0.35,0,3,0,0.36,0.25,1,1,0,0,0,0
33294824,1,14,1,0,0,0.0625,0,1.47,2,0.77,0.51,0,0,0,0,0,0
33057016,0,20,0,0,0,0,1,5.15,NONE,0.9,0.59,0,0,0,0,0,0
32916723,1,6,1,2,0.2,0.1,0,3.29,0,0.75,0.49,0,0,0,0,0,0
32840743,2,4,2,0,0,0.25,0,1.17,1,0.66,0.41,0,0,0,0,0,0
32353289,2,6,2,2,0.16666666666666666,0.166666666666667,0,7.5,0,0.65,0.41,0,0,0,0,0,0
32352104,2,16,2,0,0,0.1,0,1,1,0.78,0.5,0,0,0,0,0,0
32338429,0,20,0,0,0,0,1,1.1,NONE,0.88,0.56,0,0,0,0,0,0
32281591,5,6,5,4,0.2,0.25,0,6.82,5.2,0.41,0.3,0,0,0,0,0,0
32053642,10,0,10,0,0,0.5,0,6.3,3.5,0.27,0.17,1,1,0,0,0,0
32036058,0,2,0,0,0,0,1,8.5,NONE,0.96,0.72,0,0,0,0,0,0
31613324,0,20,0,0,0,0,1,4.3,NONE,0.87,0.56,0,0,0,0,0,0
31304413,1,8,1,2,0.16666666666666666,0.0833333333333333,0,1.33,1,0.85,0.54,0,0,0,0,0,0
31184650,0,2,0,0,0,0,1,1,NONE,0.96,0.72,0,0,0,0,0,0
30137403,9,2,9,0,0,0.45,0,8.55,5.222222222222222,0.3,0.22,1,1,0,0,0,0
29849805,7,6,7,0,0,0.35,0,4.08,3.142857142857143,0.47,0.29,0,0,0,0,0,0
29688905,2,6,2,2,0.16666666666666666,0.166666666666667,0,1.13,1.5,0.73,0.45,0,0,0,0,0,0
29248520,2,6,2,2,0.16666666666666666,0.166666666666667,0,6.13,7,0.72,0.45,0,0,0,0,0,0
29216552,0,20,0,0,0,0,1,3.4,NONE,0.9,0.59,0,0,0,0,0,0
29096504,0,18,0,2,0.1,0,0,3.28,NONE,0.79,0.51,0,0,0,0,0,0
28884030,0,0,0,28,1,0,1,NONE,NONE,0.08,0.05,1,1,0,0,0,0
28790780,0,20,0,0,0,0,1,1.75,NONE,0.86,0.58,0,0,0,0,0,0
28524232,4,12,4,0,0,0.2,0,2.56,1,0.61,0.4,0,0,0,0,0,0
28103910,3,12,3,2,0.1,0.15,0,1.33,1,0.7,0.44,0,0,0,0,0,0
27042527,1,8,1,2,0.16666666666666666,0.0833333333333333,0,6.67,6,0.85,0.54,0,0,0,0,0,0
25257275,3,12,3,2,0.1,0.15,0,0.93,1,0.67,0.44,0,0,0,0,0,0
24449707,4,0,4,0,0,0.5,0,6,4.25,0.33,0.22,1,1,0,0,0,0
22535866,10,0,10,0,0,0.5,0,1.1,1,0.29,0.19,1,1,0,0,0,0
22222103,0,16,0,4,0.2,0,0,2.5,NONE,0.81,0.53,0,0,0,0,0,0
22166359,4,2,4,0,0,0.4,0,4.5,2.75,0.41,0.27,1,1,0,0,0,0
21665495,0,16,0,4,0.2,0,0,1.13,NONE,0.79,0.5,0,0,0,0,0,0
21490235,6,8,6,0,0,0.3,0,1.57,1,0.61,0.39,0,0,0,0,0,0
20929875,2,12,2,0,0,0.125,0,8.29,0,0.79,0.52,0,0,0,0,0,0
20113482,4,10,4,2,0.1,0.2,0,6.21,3.25,0.57,0.38,0,0,0,0,0,0
20043586,6,6,6,2,0.1,0.3,0,3.83,2.5,0.49,0.33,0,0,0,0,0,0
19913374,0,20,0,0,0,0,1,1,NONE,0.9,0.58,0,0,0,0,0,0
19302668,6,4,6,4,0.2,0.3,0,1.9,1.3333333333333333,0.47,0.29,0,0,0,0,0,0
18672993,0,8,0,0,0,0,1,2.25,NONE,0.88,0.56,0,0,0,0,0,0
17950689,0,20,0,0,0,0,1,2.35,NONE,0.88,0.57,0,0,0,0,0,0
16682358,1,18,1,0,0,0.05,0,3.79,2,0.81,0.52,0,0,0,0,0,0
16101132,0,16,0,4,0.2,0,0,1.63,NONE,0.65,0.42,0,0,0,0,0,0
15577915,10,0,10,0,0,0.5,0,4.3,0.7,0.31,0.2,1,1,0,0,0,0
14571439,1,14,1,2,0.1111111111111111,0.0555555555555556,0,1,1,0.7,0.47,0,0,0,0,0,0
13581319,10,0,10,0,0,0.5,0,4.1,3.4,0.32,0.21,1,1,0,0,0,0
9653950,2,16,2,0,0,0.1,0,7.33,6,0.75,0.48,0,0,0,0,0,0
8260660,4,12,4,0,0,0.2,0,3.44,0,0.7,0.47,0,0,0,0,0,0
6344072,0,20,0,0,0,0,1,3.55,NONE,0.9,0.58,0,0,0,0,0,0
6309240,6,8,6,0,0,0.3,0,7.29,4.666666666666667,0.51,0.34,0,0,0,0,0,0
4688131,10,0,10,0,0,0.5,0,2.8,0.5,0.19,0.13,1,1,0,0,0,0
3587109,0,10,0,2,0.16666666666666666,0,0,1.7,NONE,0.9,0.59,0,0,0,0,0,0
2803291,1,2,1,0,0,0.25,0,5.67,6,0.65,0.38,0,0,0,0,0,0
2143114,10,0,10,0,0,0.5,0,1,0,0.27,0.17,1,1,0,0,0,0
