worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33903622,0,14,0,2,0.125,0,0,0.82,0.54,0,0,0,0,0,0
33900189,5,6,5,0,0,0.3125,0,0.62,0.39,0,0,0,0,0,0
33793607,0,14,0,2,0.125,0,0,0.82,0.54,0,0,0,0,0,0
33761260,10,8,10,0,0,0.357142857142857,0,0.49,0.31,0,0,0,0,0,0
33727304,3,8,3,2,0.125,0.1875,0,0.71,0.45,0,0,0,0,0,0
33725995,0,28,0,0,0,0,1,0.79,0.49,0,0,0,0,0,0
33721948,0,14,0,2,0.125,0,0,0.73,0.46,0,0,0,0,0,0
33565158,3,8,3,2,0.125,0.1875,0,0.59,0.37,0,0,0,0,0,0
33538351,3,10,3,0,0,0.1875,0,0.67,0.44,0,0,0,0,0,0
33535031,2,0,2,0,0,0.5,0,0.48,0.3,0,0,0,0,0,0
33500282,9,0,9,0,0,0.5,0,0.32,0.21,1,1,0,0,0,0
33467170,6,14,6,2,0.0714285714285714,0.214285714285714,0,0.69,0.46,0,0,0,0,0,0
33453357,6,2,6,2,0.125,0.375,0,0.53,0.34,0,0,0,0,0,0
33294824,2,12,2,0,0,0.125,0,0.71,0.46,0,0,0,0,0,0
33057016,0,16,0,0,0,0,1,0.84,0.53,0,0,0,0,0,0
32987272,1,10,1,4,0.25,0.0625,0,0.73,0.47,0,0,0,0,0,0
32916723,1,14,1,0,0,0.0625,0,0.7,0.44,0,0,0,0,0,0
32840743,2,10,2,2,0.125,0.125,0,0.81,0.53,0,0,0,0,0,0
32799278,0,16,0,0,0,0,1,0.83,0.53,0,0,0,0,0,0
32633078,2,2,2,6,0.5,0.166666666666667,0,0.43,0.26,1,1,0,0,0,0
32352104,2,22,2,2,0.0714285714285714,0.0714285714285714,0,0.73,0.48,0,0,0,0,0,0
32338429,0,26,0,0,0,0,1,0.76,0.48,0,0,0,0,0,0
32053642,14,0,14,0,0,0.5,0,0.22,0.13,1,1,0,0,0,0
31743852,5,6,5,0,0,0.3125,0,0.52,0.33,0,0,0,0,0,0
31613324,0,12,0,4,0.25,0,0,0.76,0.48,0,0,0,0,0,0
31304413,8,8,8,4,0.142857142857143,0.285714285714286,0,0.52,0.36,0,0,0,0,0,0
31184650,0,12,0,4,0.25,0,0,0.74,0.48,0,0,0,0,0,0
31065274,4,6,4,2,0.125,0.25,0,0.61,0.38,0,0,0,0,0,0
30779198,5,2,5,4,0.25,0.3125,0,0.48,0.33,0,0,0,0,0,0
30482004,4,2,4,6,0.375,0.25,0,0.5,0.32,0,0,0,0,0,0
30137403,7,6,7,2,0.0909090909090909,0.318181818181818,0,0.55,0.36,0,0,0,0,0,0
29849805,8,8,8,4,0.142857142857143,0.285714285714286,0,0.54,0.34,0,0,0,0,0,0
29688905,2,0,2,0,0,0.5,0,0.56,0.34,0,0,0,0,0,0
29248520,1,12,1,2,0.125,0.0625,0,0.83,0.54,0,0,0,0,0,0
29216552,0,16,0,0,0,0,1,0.84,0.53,0,0,0,0,0,0
29209955,0,14,0,2,0.125,0,0,0.83,0.54,0,0,0,0,0,0
29155723,1,12,1,2,0.125,0.0625,0,0.74,0.48,0,0,0,0,0,0
29096504,0,12,0,4,0.25,0,0,0.81,0.52,0,0,0,0,0,0
28937865,4,0,4,8,0.5,0.25,0,0.17,0.12,1,1,0,0,0,0
28884030,0,0,0,20,1,0,1,0.24,0.15,1,1,0,0,0,0
28790780,0,18,0,0,0,0,1,0.78,0.49,0,0,0,0,0,0
28103910,0,14,0,2,0.125,0,0,0.82,0.54,0,0,0,0,0,0
27934334,6,8,6,2,0.0909090909090909,0.272727272727273,0,0.59,0.37,0,0,0,0,0,0
27753923,6,0,6,4,0.25,0.375,0,0.5,0.35,0,0,0,0,0,0
27042527,5,12,5,0,0,0.227272727272727,0,0.57,0.35,0,0,0,0,0,0
25257275,3,20,3,2,0.0714285714285714,0.107142857142857,0,0.68,0.44,0,0,0,0,0,0
24449707,7,0,7,2,0.125,0.4375,0,0.5,0.34,0,0,0,0,0,0
