worker_ID,tweet_ID,more_novel,equally_novel,non_highlighted,irrational
33294824,entity/text/news/tweet/38789,0,1,0,0
13581319,entity/text/news/tweet/38789,1,0,0,0
31065274,entity/text/news/tweet/38789,0,0,0,0
18990100,entity/text/news/tweet/38789,0,0,0,0
33453357,entity/text/news/tweet/38789,1,0,0,0
33903622,entity/text/news/tweet/38789,0,1,0,0
9653950,entity/text/news/tweet/38789,0,1,0,0
33467170,entity/text/news/tweet/38789,0,0,1,0
32352104,entity/text/news/tweet/38789,0,1,0,0
32053642,entity/text/news/tweet/38789,1,0,0,0
25257275,entity/text/news/tweet/38789,0,1,0,0
27934334,entity/text/news/tweet/38789,0,1,0,0
15439740,entity/text/news/tweet/38789,0,1,0,0
21490235,entity/text/news/tweet/38789,1,0,0,0
31304413,entity/text/news/tweet/38789,0,1,0,0
33294824,entity/text/news/tweet/38789,1,0,0,0
13581319,entity/text/news/tweet/38789,0,0,1,0
31065274,entity/text/news/tweet/38789,0,1,0,0
18990100,entity/text/news/tweet/38789,0,0,0,0
33453357,entity/text/news/tweet/38789,1,0,0,0
33903622,entity/text/news/tweet/38789,0,1,0,0
20113482,entity/text/news/tweet/38789,0,0,0,0
9653950,entity/text/news/tweet/38789,0,1,0,0
33467170,entity/text/news/tweet/38789,0,0,1,0
32352104,entity/text/news/tweet/38789,0,1,0,0
32053642,entity/text/news/tweet/38789,0,1,0,0
25257275,entity/text/news/tweet/38789,0,1,0,0
27934334,entity/text/news/tweet/38789,0,0,1,0
15439740,entity/text/news/tweet/38789,0,1,0,0
21490235,entity/text/news/tweet/38789,1,0,0,0
33294824,entity/text/news/tweet/38789,1,0,0,0
13581319,entity/text/news/tweet/38789,0,0,1,0
31065274,entity/text/news/tweet/38789,0,0,0,0
18990100,entity/text/news/tweet/38789,0,0,0,0
33453357,entity/text/news/tweet/38789,0,1,0,0
33903622,entity/text/news/tweet/38789,0,1,0,0
9653950,entity/text/news/tweet/38789,0,0,0,0
32352104,entity/text/news/tweet/38789,0,1,0,0
27934334,entity/text/news/tweet/38789,0,0,1,0
15439740,entity/text/news/tweet/38789,0,1,0,0
21490235,entity/text/news/tweet/38789,0,0,0,0
31304413,entity/text/news/tweet/38789,0,1,0,0
29849805,entity/text/news/tweet/38789,1,0,0,0
4711962,entity/text/news/tweet/38789,0,1,0,0
