tweet_id,count,score,normalised_score,
entity/text/news/tweet/38772,141,9,0.0983606557377,
entity/text/news/tweet/38898,138,-6.5,-0.0710382513661,
entity/text/news/tweet/38842,138,53,0.579234972678,
entity/text/news/tweet/38974,139,79,0.863387978142,
entity/text/news/tweet/38998,136,45,0.491803278689,
entity/text/news/tweet/38683,139,-38.5,-0.420765027322,
entity/text/news/tweet/38619,139,36,0.393442622951,
entity/text/news/tweet/38617,144,73,0.79781420765,
entity/text/news/tweet/38706,138,-69,-0.754098360656,
entity/text/news/tweet/38945,137,-42,-0.459016393443,
entity/text/news/tweet/38953,139,91.5,1,
entity/text/news/tweet/38907,137,-1.5,-0.016393442623,
entity/text/news/tweet/38814,135,61,0.666666666667,
