worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,manually_checked,1and2,1or2_3or4or5,4and5,avg_irr50
33903622,3,8,3,2,0.13,0.19,0,6.64,3,0.8264259777011490,0.5039753327954400,0,0,0,0,0,0
33793607,1,14,1,0,0,0.06,0,3.8,4,0.6815541809139550,0.450666152021836,0,0,0,0,0,0
33721948,0,24,0,0,0,0,1,1,NONE,0.6831958549543440,0.5965401785714290,0,1,0,0,0,0
33565158,2,0,2,12,0.75,0.13,0,5,0,0.4050577603081260,0.3056109967451720,1,1,1,0,0,0
33535031,7,0,7,2,0.13,0.44,0,7.857142857142857,5,0.7839915662378610,0.44907940588269500,0,0,0,0,0,0
33500282,10,0,10,0,0,0.5,0,6.6,0,0.6471048772999970,0.42984827424867100,0,0,0,0,0,0
33467170,1,2,1,2,0.33,0.17,0,1,0,0.5102432466378940,0.4109589041095890,0,1,0,0,0,0
33271440,0,0,0,24,1,0,1,NONE,NONE,0.2398652044784350,0.18413461538461500,1,1,1,0,0,0
33057016,0,0,0,16,1,0,1,NONE,NONE,0.2599726561714480,0.19524336283185800,1,1,1,0,0,0
32840743,5,6,5,0,0,0.31,0,1,1,0.7206306343810730,0.619978,0,0,0,0,0,0
32633078,0,0,0,6,1,0,1,NONE,NONE,0.276386581502106,0.2071917808219180,1,1,1,0,0,0
32352104,6,12,6,0,0,0.25,0,1.06,1,0.7334846410005520,0.6344866071428570,0,0,0,0,0,0
32338429,0,22,0,2,0.08,0,0,1.82,NONE,0.7063523287070070,0.54515196515196500,0,0,0,0,0,0
32306192,0,8,0,0,0,0,1,1,NONE,0.5655597880104990,0.4851485148514850,0,1,0,0,0,0
32123974,7,0,7,0,0,0.5,0,5.86,3.14,0.6931325117674090,0.4305055666021320,0,0,0,0,0,0
31304413,2,2,2,0,0,0.33,0,2,1,0.6448906083376610,0.4623287671232880,0,1,0,0,0,0
31184650,0,14,0,2,0.13,0,0,1.14,NONE,0.7265175350260020,0.5678565350578620,0,0,0,0,0,0
30901412,4,8,4,0,0,0.25,0,2.83,0.75,0.7796156567290240,0.56078193548644800,0,0,0,0,0,0
29849805,10,2,10,2,0.08,0.42,0,6.75,3.5,0.7303514451183540,0.44866374955125700,0,0,0,0,0,0
29688905,6,10,6,2,0.08,0.25,0,1.25,1,0.7018403440530570,0.5625374476713760,0,0,0,0,0,0
29248520,2,10,2,0,0,0.14,0,5.08,2,0.7956175165899420,0.4905213062297630,0,0,0,0,0,0
29216801,0,14,0,0,0,0,1,1,NONE,0.701324678250225,0.59718100890208,0,2,0,0,0,0
29209955,0,16,0,0,0,0,1,1.13,NONE,0.6727959183831210,0.5645578104470720,0,0,0,0,0,0
29155723,9,6,9,0,0,0.38,0,8.4,4.78,0.7855806909792570,0.4810162478607190,0,0,0,0,0,0
28884030,0,0,0,24,1,0,1,NONE,NONE,0.22947148073141800,0.17702702702702700,1,1,1,0,0,0
28351359,12,0,12,0,0,0.5,0,3.92,0,0.5972883355058940,0.4866526515954940,0,0,0,0,0,0
28103910,2,16,2,2,0.09,0.09,0,1.17,1,0.7490839687914590,0.6006279610261910,0,0,0,0,0,0
27934334,6,12,6,0,0,0.25,0,6.44,0,0.7532412729676100,0.50767012680492500,0,0,0,0,0,0
27753923,12,0,12,0,0,0.5,0,2.08,0,0.62256993761389000,0.51223534807566300,0,0,0,0,0,0
27042527,9,6,9,0,0,0.38,0,8,5.33,0.7818091250088370,0.46818964696293800,0,0,0,0,0,0
25745953,10,0,10,0,0,0.5,0,7.4,0,0.6266619803880130,0.4792814915801730,0,0,0,0,0,0
25257275,1,22,1,0,0,0.04,0,1,1,0.6800025212793660,0.5867446393762180,0,2,0,0,0,0
24971636,4,6,4,2,0.13,0.25,0,7.2,2.5,0.6813988865641960,0.43236918012410500,0,0,0,0,0,0
24449707,11,2,11,0,0,0.46,0,4.46,2.09,0.7463049723215070,0.5115239571552250,0,0,0,0,0,0
23503585,4,14,4,2,0.08,0.17,0,7.78,4.75,0.8184216153177490,0.4805011705744990,0,0,0,0,0,0
22388850,8,6,8,0,0,0.36,0,1.5,0,0.56952394373491400,0.46070423829044500,0,0,0,0,0,0
22222103,0,14,0,2,0.13,0,0,2.07,NONE,0.7522568698115950,0.553685133533682,0,0,0,0,0,0
22166359,7,2,7,0,0,0.44,0,3.11,3,0.7322288671206690,0.4990644172343160,0,0,0,0,0,0
22141613,0,0,0,24,1,0,1,NONE,NONE,0.2469236661561660,0.18838383838383800,1,1,1,0,0,0
21665495,0,24,0,0,0,0,1,1.04,NONE,0.6352990912271310,0.5419020715630890,0,2,0,0,0,0
21490235,9,6,9,0,0,0.38,0,1.53,1.11,0.7124655584331910,0.5787171474927620,0,0,0,0,0,0
20312760,12,0,12,0,0,0.5,0,2.42,0,0.5780501302626790,0.48776877152901700,0,0,0,0,0,0
20113482,7,6,7,4,0.17,0.29,0,8.23,2,0.7913846845542140,0.51341772439414400,0,0,0,0,0,0
19913374,0,22,0,0,0,0,1,1,NONE,0.6653793164400190,0.5606267029972750,0,2,0,0,0,0
19302668,11,0,11,2,0.08,0.46,0,1,1,0.678230123387403,0.5659793814432990,0,0,0,0,0,0
19294877,5,12,5,2,0.08,0.21,0,8.71,0,0.7816409188101470,0.4733410076032140,0,0,0,0,0,0
19112246,8,2,8,0,0,0.44,0,5.3,0.5,0.7008889973653660,0.4924741983532360,0,0,0,0,0,0
17950689,0,24,0,0,0,0,1,1.71,NONE,0.6684122433805470,0.5218307166516990,0,0,0,0,0,0
16101132,0,20,0,4,0.17,0,0,1.5,NONE,0.5529664074865410,0.4156931839228920,0,0,0,0,0,0
15577915,7,0,7,0,0,0.5,0,4.29,0,0.6592775095726800,0.4833106180538100,0,0,0,0,0,0
14353703,2,0,2,2,0.33,0.33,0,3.5,0,0.5865504699724000,0.3857020547945210,0,0,0,0,0,0
13581319,12,0,12,0,0,0.5,0,5.08,0,0.6536589223560310,0.48237223336114100,0,0,0,0,0,0
9653950,2,10,2,2,0.13,0.13,0,7.75,4.5,0.833373700567091,0.4919414500187790,0,0,0,0,0,0
7051387,2,2,2,0,0,0.33,0,4.75,1.5,0.677936589070965,0.4542727725090740,0,1,0,0,0,0
6348996,8,0,8,0,0,0.5,0,4.25,2,0.5919416793467920,0.3865579687944650,0,0,0,0,0,0
6344072,5,10,5,4,0.17,0.21,0,2.67,2,0.7750207384300270,0.5591808004249950,0,0,0,0,0,0
6309240,4,6,4,2,0.13,0.25,0,7.9,3,0.7452154708029330,0.4582978146815000,0,0,0,0,0,0
4711962,0,24,0,0,0,0,1,1,NONE,0.6532720221364390,0.5668918918918920,0,2,0,0,0,0
4688131,7,2,7,2,0.11,0.39,0,4.22,0,0.5858666547810760,0.4213039739798210,0,0,0,0,0,0
3587109,0,20,0,4,0.17,0,0,2.35,NONE,0.7100459209563220,0.51985834678142400,0,0,0,0,0,0
2803291,3,0,3,0,0,0.5,0,4.67,2.33,0.8284299967135200,0.50036322125363200,0,0,0,0,0,0
2143114,8,0,8,0,0,0.5,0,1,0,0.60362086796829600,0.48944591029023700,0,0,0,0,0,0
