worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
34053021,12,4,12,0,0,0.43,0,7,4.25,0.56,0.34,0,0,0,0,0,0
33903622,4,12,4,8,0.29,0.14,0,6.13,4.5,0.64,0.39,0,0,0,0,0,0
33761260,11,0,11,0,0,0.5,0,4.91,2.36,0.44,0.27,1,1,0,0,0,0
33725995,0,28,0,0,0,0,1,1.86,NONE,0.67,0.4,0,0,0,0,0,0
33565158,1,6,1,0,0,0.13,0,4.29,0,0.69,0.41,0,0,0,0,0,0
33538351,7,14,7,0,0,0.25,0,4.38,1.71,0.66,0.4,0,0,0,0,0,0
33500282,11,0,11,0,0,0.5,0,6,0,0.46,0.28,0,0,0,0,0,0
33467170,4,2,4,4,0.29,0.29,0,1.17,0.5,0.59,0.36,0,0,0,0,0,0
33294824,6,8,6,2,0.09,0.27,0,2.07,1,0.61,0.37,0,0,0,0,0,0
33271440,0,0,0,28,1,0,1,NONE,NONE,0.22,0.14,1,1,0,0,0,0
32352104,4,14,4,6,0.21,0.14,0,1,1,0.64,0.38,0,0,0,0,0,0
32338429,0,28,0,0,0,0,1,1.04,NONE,0.67,0.4,0,0,0,0,0,0
32306192,0,22,0,0,0,0,1,1.23,NONE,0.67,0.4,0,0,0,0,0,0
32053642,14,0,14,0,0,0.5,0,5.36,2.57,0.33,0.2,1,1,0,0,0,0
31743852,2,2,2,0,0,0.33,0,3,0,0.6,0.35,0,0,0,0,0,0
31695021,7,4,7,4,0.18,0.32,0,6.09,2.29,0.55,0.34,0,0,0,0,0,0
31670127,14,0,14,0,0,0.5,0,3,1.57,0.49,0.29,0,0,0,0,0,0
31443509,8,6,8,6,0.21,0.29,0,3.79,0,0.61,0.37,0,0,0,0,0,0
31304413,11,6,11,0,0,0.39,0,2.06,1.27,0.63,0.38,0,0,0,0,0,0
31184650,0,20,0,8,0.29,0,0,1.3,NONE,0.68,0.41,0,0,0,0,0,0
30137403,5,12,5,0,0,0.23,0,8.12,4.6,0.63,0.38,0,0,0,0,0,0
29849805,9,2,9,8,0.29,0.32,0,5.55,3,0.4,0.24,1,1,0,0,0,0
29688905,6,14,6,2,0.07,0.21,0,1.7,0.83,0.71,0.43,0,0,0,0,0,0
29209955,0,22,0,0,0,0,1,1.18,NONE,0.67,0.4,0,0,0,0,0,0
29155723,3,4,3,0,0,0.3,0,7.57,2.67,0.64,0.38,0,0,0,0,0,0
28884030,0,0,0,6,1,0,1,NONE,NONE,0.32,0.2,1,1,0,0,0,0
27934334,6,6,6,4,0.18,0.27,0,5,0,0.68,0.41,0,0,0,0,0,0
25257275,4,16,4,4,0.14,0.14,0,1.15,1.25,0.65,0.39,0,0,0,0,0,0
24449707,13,2,13,0,0,0.46,0,3.87,1.46,0.48,0.29,0,0,0,0,0,0
23503585,5,10,5,8,0.29,0.18,0,7.53,2.8,0.65,0.4,0,0,0,0,0,0
22222103,0,8,0,2,0.2,0,0,1.88,NONE,0.75,0.44,0,0,0,0,0,0
22166359,13,2,13,0,0,0.46,0,4.4,3.15,0.51,0.31,0,0,0,0,0,0
22141613,0,0,0,28,1,0,1,NONE,NONE,0.22,0.14,1,1,0,0,0,0
21665495,0,20,0,8,0.29,0,0,1.2,NONE,0.68,0.41,0,0,0,0,0,0
20929875,5,10,5,8,0.29,0.18,0,7.07,0,0.53,0.32,0,0,0,0,0,0
20113482,7,8,7,6,0.21,0.25,0,4.73,2.14,0.62,0.37,0,0,0,0,0,0
20043586,11,0,11,6,0.21,0.39,0,2.73,2.09,0.57,0.35,0,0,0,0,0,0
19913374,0,28,0,0,0,0,1,1,NONE,0.67,0.4,0,0,0,0,0,0
18990100,10,2,10,6,0.21,0.36,0,5.08,3.3,0.53,0.32,0,0,0,0,0,0
17950689,0,22,0,6,0.21,0,0,1.86,NONE,0.7,0.42,0,0,0,0,0,0
16101132,0,10,0,18,0.64,0,0,1.9,NONE,0.35,0.21,1,1,0,0,0,0
9653950,6,6,6,4,0.18,0.27,0,7.17,3.83,0.66,0.4,0,0,0,0,0,0
6344072,4,12,4,8,0.29,0.14,0,2.44,2.5,0.63,0.38,0,0,0,0,0,0
6330007,7,8,7,0,0,0.32,0,4.13,0.43,0.64,0.38,0,0,0,0,0,0
4711962,0,28,0,0,0,0,1,1,NONE,0.67,0.4,0,0,0,0,0,0
4688131,11,6,11,0,0,0.39,0,1.88,0,0.65,0.38,0,0,0,0,0,0
3587109,0,28,0,0,0,0,1,1.89,NONE,0.67,0.4,0,0,0,0,0,0
2143114,14,0,14,0,0,0.5,0,1,0,0.55,0.33,0,0,0,0,0,0
