tweet_id,count,score,normalised,clarity
entity/text/news/tweet/38998,100,42.5,0.518292682927,0.81311562818174166
entity/text/news/tweet/38974,109,82,1,0.73105526824286893
entity/text/news/tweet/38945,113,-18.5,-0.225609756098,0.800044325013193
entity/text/news/tweet/38907,114,18,0.219512195122,0.87959320741256053
entity/text/news/tweet/38898,120,21.5,0.262195121951,0.90565444500277303
entity/text/news/tweet/38842,78,36,0.439024390244,0.85280286542244166
entity/text/news/tweet/38772,108,27,0.329268292683,0.75701116410446456
entity/text/news/tweet/38706,92,-25,-0.30487804878,0.85419855561443858
entity/text/news/tweet/38683,80,-1,-0.0121951219512,0.79582242575422135
entity/text/news/tweet/38619,88,42.5,0.518292682927,0.70612943893480806
