worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
34053021,12,4,12,0,0,0.43,0,7,4.25,0.8037086738576570,0.47685953705557000,0
33903622,4,12,4,8,0.29,0.14,0,6.13,4.5,0.8009079154310550,0.48880026600222100,0
33761260,11,0,11,0,0,0.5,0,4.91,2.36,0.6262591004121330,0.41933286775085100,0
33725995,0,28,0,0,0,0,1,1.86,NONE,0.59184525216617400,0.44235312899106000,1
33565158,1,6,1,0,0,0.13,0,4.29,0,0.724178448847368,0.52517657780815700,0
33538351,7,14,7,0,0,0.25,0,4.38,1.71,0.7268907814744780,0.4803885242190600,0
33500282,11,0,11,0,0,0.5,0,6,0,0.6110917470407060,0.42285566745817200,0
33467170,4,2,4,4,0.29,0.29,0,1.17,0.5,0.6036786257332940,0.5273536895674300,0
33294824,6,8,6,2,0.09,0.27,0,2.07,1,0.623362736630436,0.48340380039163000,0
33271440,0,0,0,28,1,0,1,NONE,NONE,0.17624657629345100,0.14022988505747100,1
32352104,4,14,4,6,0.21,0.14,0,1,1,0.7216170755862320,0.6384039900249380,0
32338429,0,28,0,0,0,0,1,1.04,NONE,0.6909133524499880,0.6022443890274310,1
32306192,0,22,0,0,0,0,1,1.23,NONE,0.59712039745585000,0.4924939045628700,1
32053642,14,0,14,0,0,0.5,0,5.36,2.57,0.6710031331425830,0.43415242740251500,0
31743852,2,2,2,0,0,0.33,0,3,0,0.6646103772665480,0.4830811390444420,0
31695021,7,4,7,4,0.18,0.32,0,6.09,2.29,0.7725444629620880,0.50141661916686200,0
31670127,14,0,14,0,0,0.5,0,3,1.57,0.7372752289219800,0.5195442474579190,0
31443509,8,6,8,6,0.21,0.29,0,3.79,0,0.5648554634009210,0.41131468186864600,0
31304413,11,6,11,0,0,0.39,0,2.06,1.27,0.7571018701668200,0.5800053694096610,0
31184650,0,20,0,8,0.29,0,0,1.3,NONE,0.7252688459533660,0.6150539881574370,0
30137403,5,12,5,0,0,0.23,0,8.12,4.6,0.7853915589215160,0.4568439057303170,0
29849805,9,2,9,8,0.29,0.32,0,5.55,3,0.6605213053906800,0.4193160177389940,0
29688905,6,14,6,2,0.07,0.21,0,1.7,0.83,0.7582685245189070,0.6075961012167910,0
29209955,0,22,0,0,0,0,1,1.18,NONE,0.7254405792254890,0.6271334029954720,1
29155723,3,4,3,0,0,0.3,0,7.57,2.67,0.7862572260377320,0.4731401925563920,0
28884030,0,0,0,6,1,0,1,NONE,NONE,0.26040425114810600,0.20068807339449500,1
27934334,6,6,6,4,0.18,0.27,0,5,0,0.6666612563676400,0.4876328891415100,0
25257275,4,16,4,4,0.14,0.14,0,1.15,1.25,0.7153019695225960,0.5858003800023750,0
24449707,13,2,13,0,0,0.46,0,3.87,1.46,0.7570550615543360,0.515796468213220,0
23503585,5,10,5,8,0.29,0.18,0,7.53,2.8,0.8010788178769790,0.46891250832477300,0
22222103,0,8,0,2,0.2,0,0,1.88,NONE,0.7800208366731830,0.5994588744588740,0
22166359,13,2,13,0,0,0.46,0,4.4,3.15,0.7425387396630420,0.49559867038900100,0
22141613,0,0,0,28,1,0,1,NONE,NONE,0.17624657629345100,0.14022988505747100,1
21665495,0,20,0,8,0.29,0,0,1.2,NONE,0.7159003565068390,0.5909261715296200,0
20929875,5,10,5,8,0.29,0.18,0,7.07,0,0.7229760029696870,0.4477295592566530,0
20113482,7,8,7,6,0.21,0.25,0,4.73,2.14,0.7716448843322680,0.48032701646693000,0
20043586,11,0,11,6,0.21,0.39,0,2.73,2.09,0.6232223184592560,0.43702088478962100,0
19913374,0,28,0,0,0,0,1,1,NONE,0.6909133524499880,0.6022443890274310,1
18990100,10,2,10,6,0.21,0.36,0,5.08,3.3,0.785873319877171,0.4835729952696660,0
17950689,0,22,0,6,0.21,0,0,1.86,NONE,0.7293629514781240,0.53304239401496300,0
16101132,0,10,0,18,0.64,0,0,1.9,NONE,0.31829668829189900,0.2608193291382950,1
9653950,6,6,6,4,0.18,0.27,0,7.17,3.83,0.8207682762831310,0.5039580670868700,0
6344072,4,12,4,8,0.29,0.14,0,2.44,2.5,0.7424904178034030,0.5505652875316730,0
6330007,7,8,7,0,0,0.32,0,4.13,0.43,0.7410025022133810,0.5094620379248220,0
4711962,0,28,0,0,0,0,1,1,NONE,0.6909133524499880,0.6022443890274310,1
4688131,11,6,11,0,0,0.39,0,1.88,0,0.60088528320306000,0.4652475952974710,0
3587109,0,28,0,0,0,0,1,1.89,NONE,0.7117594139401400,0.545291112613628,1
2143114,14,0,14,0,0,0.5,0,1,0,0.6176999659050390,0.5528735632183910,0
