tweet_id,count,score,normalised_score
entity/text/news/tweet/38764,299,-58.5,-0.309523809524
entity/text/news/tweet/38649,270,-7.0,-0.037037037037
entity/text/news/tweet/38771,269,-58.0,-0.306878306878
entity/text/news/tweet/38705,329,189.0,1.0
entity/text/news/tweet/38923,281,52.5,0.277777777778
entity/text/news/tweet/38781,274,128.5,0.679894179894
entity/text/news/tweet/38901,257,46.5,0.246031746032
entity/text/news/tweet/38975,141,37.5,0.198412698413
entity/text/news/tweet/38979,318,31.5,0.166666666667
entity/text/news/tweet/38691,258,131.0,0.693121693122
entity/text/news/tweet/38693,264,7.0,0.037037037037
entity/text/news/tweet/38931,131,-3.0,-0.015873015873
entity/text/news/tweet/38695,258,95.0,0.502645502646
entity/text/news/tweet/38932,253,-97.0,-0.513227513228
entity/text/news/tweet/38612,266,53.5,0.283068783069
entity/text/news/tweet/38770,291,153.5,0.812169312169
entity/text/news/tweet/38779,239,-65.0,-0.343915343915
entity/text/news/tweet/38733,252,87.5,0.462962962963
entity/text/news/tweet/38912,310,27.0,0.142857142857
entity/text/news/tweet/38637,252,-15.5,-0.0820105820106
entity/text/news/tweet/38635,268,-44.5,-0.23544973545
entity/text/news/tweet/38755,125,33.0,0.174603174603
entity/text/news/tweet/38966,253,97.5,0.515873015873
entity/text/news/tweet/38846,262,123.0,0.650793650794
entity/text/news/tweet/38804,274,-54.0,-0.285714285714
entity/text/news/tweet/38806,291,136.0,0.719576719577
entity/text/news/tweet/38871,304,138.5,0.732804232804
entity/text/news/tweet/38588,271,55.5,0.293650793651
