worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
23804661,0,16,0,2,0.11,0,0,2.94,NONE,0.67,0.43,0
31670127,3,0,3,2,0.25,0.375,0,1.67,1.67,0.58,0.36,0
32123974,13,2,13,0,0,0.464285714285714,0,6,3.62,0.52,0.32,0
20043586,6,4,6,2,0.11,0.333333333333333,0,2.6,1.67,0.53,0.44,0
19302668,13,0,13,0,0,0.5,0,1,1,0.59,0.3,0
29096504,0,28,0,0,0,0,1,1.79,NONE,0.73,0.44,0
22388850,9,8,9,2,0.07,0.321428571428571,0,5.29,0,0.68,0.4,0
28103910,1,14,1,2,0.11,0.0555555555555556,0,1.07,1,0.47,0.39,0
25257275,5,18,5,0,0,0.178571428571429,0,1,1,0.58,0.43,0
27753923,14,0,14,0,0,0.5,0,1.71,0,0.69,0.08,1
21490235,7,12,7,2,0.07,0.25,0,1.16,1,0.11,0.37,0
33761260,10,6,10,2,0.07,0.357142857142857,0,3.75,2.3,0.74,0.37,0
23503585,6,16,6,0,0,0.214285714285714,0,7.86,5.33,0.58,0.49,0
30137403,6,6,6,0,0,0.333333333333333,0,8.75,5.5,0.8,0.41,0
15577915,10,0,10,2,0.09,0.454545454545455,0,5.9,0,0.68,0.36,0
33721948,0,26,0,2,0.07,0,0,1,NONE,0.56,0.5,0
24449707,12,4,12,0,0,0.428571428571429,0,5.94,3.08,0.77,0.29,0
30901412,6,12,6,4,0.14,0.214285714285714,0,4.89,0,0.44,0.47,0
31184650,0,6,0,0,0,0,1,1.5,NONE,0.74,0.46,0
33725995,0,24,0,4,0.14,0,0,1.46,NONE,0.7,0.47,0
29155723,6,14,6,2,0.07,0.214285714285714,0,7.35,6,0.7,0.46,0
20113482,5,16,5,2,0.07,0.178571428571429,0,6.9,4.2,0.71,0.47,0
4711962,0,28,0,0,0,0,1,1,NONE,0.74,0.47,0
33538351,5,8,5,0,0,0.277777777777778,0,4,2.2,0.56,0.36,0
21665495,0,28,0,0,0,0,1,1,NONE,0.66,0.43,0
19913374,0,26,0,2,0.07,0,0,1,NONE,0.78,0.49,0
32352104,3,22,3,0,0,0.107142857142857,0,1.04,1,0.77,0.48,0
20312760,12,0,12,4,0.14,0.428571428571429,0,2.17,0,0.44,0.28,0
16101132,0,24,0,4,0.14,0,0,1.25,NONE,0.82,0.52,0
33467170,6,6,6,0,0,0.333333333333333,0,4.25,0,0.71,0.42,0
31304413,7,4,7,0,0,0.388888888888889,0,2.18,1,0.64,0.38,0
31695021,6,4,6,2,0.11,0.333333333333333,0,6,2.83,0.64,0.4,0
17950689,0,28,0,0,0,0,1,1.75,NONE,0.67,0.44,0
31345986,0,14,0,14,0.5,0,0,4.07,NONE,0.53,0.33,0
14353703,4,2,4,0,0,0.4,0,4,0,0.33,0.19,1
33271440,0,0,0,28,1,0,1,NONE,NONE,0.08,0.05,1
27934334,11,6,11,0,0,0.392857142857143,0,6.76,0,0.51,0.31,0
32916723,0,18,0,0,0,0,1,2.39,NONE,0.65,0.41,0
29849805,12,4,12,0,0,0.428571428571429,0,5.38,2.75,0.74,0.32,0
18990100,14,0,14,0,0,0.5,0,8.64,4.93,0.52,0.31,0
19294877,8,12,8,0,0,0.285714285714286,0,8.6,0,0.72,0.43,0
13581319,14,0,14,0,0,0.5,0,6,0,0.62,0.32,0
3587109,0,26,0,2,0.07,0,0,2.12,NONE,0.78,0.49,0
29216801,0,18,0,0,0,0,1,1,NONE,0.65,0.41,0
29688905,6,4,6,2,0.11,0.333333333333333,0,2.6,0.33,0.53,0.44,0
28884030,0,0,0,28,1,0,1,NONE,NONE,0.16,0.1,1
