worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
33761260,10,8,10,0,0,0.36,0,3.22,1.8,0.58,0.33,0,0,0,0,0,0
33725995,0,24,0,4,0.142857142857143,0,0,1.67,NONE,0.67,0.38,0,0,0,0,0,0
33721948,0,16,0,12,0.428571428571429,0,0,1,NONE,0.63,0.36,0,0,0,0,0,0
33538351,8,8,8,0,0,0.33,0,4.69,1.5,0.56,0.33,0,0,0,0,0,0
33500282,14,0,14,0,0,0.5,0,4.21,0,0.35,0.21,1,1,0,0,0,0
33271440,0,0,0,28,1,0,1,NONE,NONE,0.25,0.15,1,1,0,0,0,0
33230986,0,28,0,0,0,0,1,1.11,NONE,0.67,0.38,0,0,0,0,0,0
32987272,1,2,1,0,0,0.25,0,2,1,0.57,0.35,0,0,0,0,0,0
32338429,0,14,0,14,0.5,0,0,1.93,NONE,0.65,0.38,0,0,0,0,0,0
32292681,3,4,3,2,0.166666666666667,0.25,0,4.43,1.33,0.65,0.37,0,0,0,0,0,0
32123974,11,2,11,0,0,0.46,0,6.31,2.91,0.49,0.28,0,0,0,0,0,0
31304413,7,14,7,0,0,0.25,0,1.57,1,0.67,0.39,0,0,0,0,0,0
31184650,0,28,0,0,0,0,1,1,NONE,0.65,0.38,0,0,0,0,0,0
30901412,13,2,13,0,0,0.46,0,2.73,0,0.42,0.25,1,1,0,0,0,0
30137403,4,20,4,0,0,0.14,0,6.96,3.75,0.54,0.32,0,0,0,0,0,0
29849805,10,2,10,6,0.214285714285714,0.36,0,4.92,3.2,0.54,0.31,0,0,0,0,0,0
29688905,0,0,0,24,1,0,1,NONE,NONE,0.25,0.15,1,1,0,0,0,0
29155723,1,12,1,14,0.5,0.04,0,5.92,8,0.68,0.4,0,0,0,0,0,0
29096504,0,20,0,8,0.285714285714286,0,0,2.05,NONE,0.69,0.4,0,0,0,0,0,0
28884030,0,0,0,28,1,0,1,NONE,NONE,0.26,0.15,1,1,0,0,0,0
28790780,0,14,0,14,0.5,0,0,1,NONE,0.65,0.38,0,0,0,0,0,0
28351359,9,2,9,4,0.166666666666667,0.38,0,2.64,0,0.36,0.21,1,1,0,0,0,0
28169121,9,2,9,4,0.166666666666667,0.38,0,1.64,0.78,0.55,0.33,0,0,0,0,0,0
28103910,1,20,1,6,0.214285714285714,0.04,0,1.05,1,0.64,0.37,0,0,0,0,0,0
27753923,12,0,12,0,0,0.5,0,1,0,0.54,0.32,0,0,0,0,0,0
27042527,5,18,5,0,0,0.18,0,6.87,5.8,0.7,0.4,0,0,0,0,0,0
25257275,1,0,1,2,0.5,0.25,0,1,1,0.41,0.24,1,1,0,0,0,0
24449707,11,6,11,0,0,0.39,0,4.47,2.45,0.52,0.31,0,0,0,0,0,0
21665495,0,24,0,0,0,0,1,1,NONE,0.67,0.38,0,0,0,0,0,0
21490235,11,4,11,2,0.0714285714285714,0.39,0,1.2,0.55,0.51,0.3,0,0,0,0,0,0
20447575,7,2,7,4,0.2,0.35,0,4.56,4,0.48,0.29,0,0,0,0,0,0
20113482,3,8,3,14,0.5,0.11,0,4.18,1.67,0.64,0.37,0,0,0,0,0,0
20043586,7,4,7,2,0.1,0.35,0,2,1.43,0.64,0.38,0,0,0,0,0,0
19913374,0,24,0,4,0.142857142857143,0,0,1,NONE,0.69,0.4,0,0,0,0,0,0
19302668,13,0,13,2,0.0714285714285714,0.46,0,1.38,1,0.36,0.21,1,1,0,0,0,0
19112246,3,18,3,0,0,0.13,0,3.52,3,0.6,0.35,0,0,0,0,0,0
18990100,9,2,9,4,0.166666666666667,0.38,0,6.55,3.56,0.6,0.35,0,0,0,0,0,0
18672993,1,18,1,4,0.166666666666667,0.04,0,1.58,0,0.74,0.43,0,0,0,0,0,0
17950689,0,22,0,6,0.214285714285714,0,0,1.73,NONE,0.69,0.4,0,0,0,0,0,0
16101132,0,28,0,0,0,0,1,1,NONE,0.65,0.38,0,0,0,0,0,0
15577915,14,0,14,0,0,0.5,0,3,0,0.44,0.26,0,0,0,0,0,0
15439740,5,4,5,14,0.5,0.18,0,5.89,7.8,0.37,0.22,1,1,0,0,0,0
13581319,14,0,14,0,0,0.5,0,2.86,0,0.52,0.31,0,0,0,0,0,0
6344072,1,4,1,2,0.25,0.13,0,2.4,2,0.69,0.4,0,0,0,0,0,0
6309240,6,2,6,14,0.5,0.21,0,6.38,4.33,0.49,0.29,0,0,0,0,0,0
4711962,0,28,0,0,0,0,1,1,NONE,0.65,0.38,0,0,0,0,0,0
3587109,0,28,0,0,0,0,1,2.25,NONE,0.67,0.38,0,0,0,0,0,0
2143114,12,0,12,0,0,0.5,0,1,0,0.5,0.3,0,0,0,0,0,0
