worker_ID,tweet_ID,more_novel,equally_novel,less_novel,NA
33761260,entity/text/news/tweet/38804,0,0,1,0
31304413,entity/text/news/tweet/38804,0,0,1,0
20113482,entity/text/news/tweet/38804,0,0,0,1
32424428,entity/text/news/tweet/38804,0,0,1,0
24449707,entity/text/news/tweet/38804,0,0,1,0
32352104,entity/text/news/tweet/38804,0,0,0,1
32123974,entity/text/news/tweet/38804,0,0,1,0
23503585,entity/text/news/tweet/38804,0,0,1,0
30326470,entity/text/news/tweet/38804,0,0,0,1
28103910,entity/text/news/tweet/38804,0,0,0,1
15848372,entity/text/news/tweet/38804,0,0,0,1
31304413,entity/text/news/tweet/38804,0,0,1,0
33761260,entity/text/news/tweet/38804,0,0,1,0
20113482,entity/text/news/tweet/38804,0,0,0,1
32352104,entity/text/news/tweet/38804,0,0,0,1
32424428,entity/text/news/tweet/38804,0,0,1,0
32123974,entity/text/news/tweet/38804,0,0,1,0
23503585,entity/text/news/tweet/38804,0,0,1,0
30326470,entity/text/news/tweet/38804,0,0,0,1
28103910,entity/text/news/tweet/38804,0,0,0,1
15848372,entity/text/news/tweet/38804,0,0,0,1
20312760,entity/text/news/tweet/38804,0,0,0,1
25257275,entity/text/news/tweet/38804,0,0,0,1
17950689,entity/text/news/tweet/38693,0,1,0,0
33294824,entity/text/news/tweet/38693,1,0,0,0
23804661,entity/text/news/tweet/38693,1,0,0,0
22388850,entity/text/news/tweet/38693,0,0,1,0
31065274,entity/text/news/tweet/38693,0,0,1,0
31743852,entity/text/news/tweet/38693,0,0,1,0
27934334,entity/text/news/tweet/38693,0,0,1,0
30137403,entity/text/news/tweet/38693,0,1,0,0
31304413,entity/text/news/tweet/38693,0,0,1,0
33761260,entity/text/news/tweet/38693,0,0,1,0
20113482,entity/text/news/tweet/38693,0,0,1,0
32424428,entity/text/news/tweet/38693,0,0,1,0
32352104,entity/text/news/tweet/38693,0,0,1,0
32123974,entity/text/news/tweet/38693,0,0,1,0
23503585,entity/text/news/tweet/38693,0,1,0,0
30326470,entity/text/news/tweet/38693,0,0,1,0
28103910,entity/text/news/tweet/38693,0,1,0,0
15848372,entity/text/news/tweet/38693,0,1,0,0
20312760,entity/text/news/tweet/38693,0,0,1,0
33330229,entity/text/news/tweet/38901,0,0,1,0
19498096,entity/text/news/tweet/38901,0,1,0,0
21613169,entity/text/news/tweet/38901,0,1,0,0
28351359,entity/text/news/tweet/38901,1,0,0,0
19302668,entity/text/news/tweet/38901,0,0,1,0
29849805,entity/text/news/tweet/38901,1,0,0,0
11382239,entity/text/news/tweet/38901,0,0,1,0
29155723,entity/text/news/tweet/38901,0,0,1,0
14353703,entity/text/news/tweet/38901,0,0,1,0
13763729,entity/text/news/tweet/38901,0,0,1,0
2143114,entity/text/news/tweet/38901,1,0,0,0
21490235,entity/text/news/tweet/38901,0,0,1,0
17950689,entity/text/news/tweet/38695,0,1,0,0
33294824,entity/text/news/tweet/38695,0,1,0,0
22388850,entity/text/news/tweet/38695,0,0,1,0
31065274,entity/text/news/tweet/38695,0,0,1,0
31743852,entity/text/news/tweet/38695,0,0,1,0
27934334,entity/text/news/tweet/38695,0,0,1,0
30137403,entity/text/news/tweet/38695,0,1,0,0
33330229,entity/text/news/tweet/38695,0,0,1,0
19498096,entity/text/news/tweet/38695,0,1,0,0
33761260,entity/text/news/tweet/38733,0,1,0,0
32352104,entity/text/news/tweet/38733,0,1,0,0
20113482,entity/text/news/tweet/38733,0,0,1,0
32424428,entity/text/news/tweet/38733,0,1,0,0
32123974,entity/text/news/tweet/38733,1,0,0,0
23503585,entity/text/news/tweet/38733,0,1,0,0
30326470,entity/text/news/tweet/38733,1,0,0,0
28103910,entity/text/news/tweet/38733,0,1,0,0
15848372,entity/text/news/tweet/38733,0,1,0,0
20312760,entity/text/news/tweet/38733,0,0,1,0
25257275,entity/text/news/tweet/38733,0,1,0,0
17950689,entity/text/news/tweet/38733,0,1,0,0
33294824,entity/text/news/tweet/38733,1,0,0,0
23804661,entity/text/news/tweet/38733,0,1,0,0
22388850,entity/text/news/tweet/38733,1,0,0,0
31065274,entity/text/news/tweet/38733,1,0,0,0
31743852,entity/text/news/tweet/38733,1,0,0,0
27934334,entity/text/news/tweet/38733,0,0,1,0
30137403,entity/text/news/tweet/38733,1,0,0,0
17950689,entity/text/news/tweet/38612,0,1,0,0
33294824,entity/text/news/tweet/38612,0,1,0,0
22388850,entity/text/news/tweet/38612,0,0,1,0
31065274,entity/text/news/tweet/38612,0,0,1,0
31743852,entity/text/news/tweet/38612,0,0,1,0
27934334,entity/text/news/tweet/38612,0,0,1,0
30137403,entity/text/news/tweet/38612,0,1,0,0
33330229,entity/text/news/tweet/38612,0,0,1,0
19498096,entity/text/news/tweet/38612,0,0,0,1
20312760,entity/text/news/tweet/38612,1,0,0,0
17950689,entity/text/news/tweet/38612,0,1,0,0
33294824,entity/text/news/tweet/38612,0,1,0,0
23804661,entity/text/news/tweet/38612,0,1,0,0
22388850,entity/text/news/tweet/38612,1,0,0,0
31065274,entity/text/news/tweet/38612,1,0,0,0
31743852,entity/text/news/tweet/38635,0,0,0,1
27934334,entity/text/news/tweet/38635,0,0,0,1
30137403,entity/text/news/tweet/38635,0,1,0,0
33330229,entity/text/news/tweet/38635,0,0,1,0
19498096,entity/text/news/tweet/38635,0,1,0,0
21613169,entity/text/news/tweet/38635,0,0,0,1
28351359,entity/text/news/tweet/38635,0,0,0,1
19302668,entity/text/news/tweet/38635,0,0,1,0
29849805,entity/text/news/tweet/38635,0,0,0,1
11382239,entity/text/news/tweet/38635,0,0,0,1
29155723,entity/text/news/tweet/38635,0,0,0,1
14353703,entity/text/news/tweet/38635,0,0,0,1
31304413,entity/text/news/tweet/38635,0,0,1,0
33761260,entity/text/news/tweet/38635,0,1,0,0
20113482,entity/text/news/tweet/38635,0,0,0,1
32352104,entity/text/news/tweet/38635,0,0,0,1
32424428,entity/text/news/tweet/38635,0,0,0,1
32123974,entity/text/news/tweet/38635,1,0,0,0
23503585,entity/text/news/tweet/38635,0,0,1,0
30326470,entity/text/news/tweet/38635,0,1,0,0
28103910,entity/text/news/tweet/38635,0,0,0,1
15848372,entity/text/news/tweet/38635,0,0,0,1
20312760,entity/text/news/tweet/38635,0,0,1,0
25257275,entity/text/news/tweet/38635,0,1,0,0
30137403,entity/text/news/tweet/38588,0,0,1,0
33330229,entity/text/news/tweet/38588,0,0,1,0
19498096,entity/text/news/tweet/38588,0,1,0,0
21613169,entity/text/news/tweet/38588,0,1,0,0
28351359,entity/text/news/tweet/38588,1,0,0,0
19302668,entity/text/news/tweet/38588,0,0,1,0
29849805,entity/text/news/tweet/38588,1,0,0,0
11382239,entity/text/news/tweet/38588,0,0,1,0
29155723,entity/text/news/tweet/38588,0,1,0,0
14353703,entity/text/news/tweet/38588,1,0,0,0
13763729,entity/text/news/tweet/38588,0,0,1,0
2143114,entity/text/news/tweet/38588,1,0,0,0
20312760,entity/text/news/tweet/38588,1,0,0,0
17950689,entity/text/news/tweet/38588,0,0,0,1
33294824,entity/text/news/tweet/38588,1,0,0,0
23804661,entity/text/news/tweet/38588,0,1,0,0
22388850,entity/text/news/tweet/38588,1,0,0,0
31065274,entity/text/news/tweet/38588,0,1,0,0
31304413,entity/text/news/tweet/38932,0,0,1,0
33761260,entity/text/news/tweet/38932,0,0,1,0
20113482,entity/text/news/tweet/38932,0,0,1,0
32424428,entity/text/news/tweet/38932,0,0,1,0
32352104,entity/text/news/tweet/38932,0,0,0,1
32123974,entity/text/news/tweet/38932,0,0,1,0
23503585,entity/text/news/tweet/38932,0,0,1,0
30326470,entity/text/news/tweet/38932,0,0,1,0
28103910,entity/text/news/tweet/38932,0,0,0,1
15848372,entity/text/news/tweet/38932,0,0,0,1
