tweet_id,count,score,normalised_score,
entity/text/news/tweet/38766,274,63,0.197492163009,
entity/text/news/tweet/38767,353,182,0.570532915361,
entity/text/news/tweet/38645,352,209,0.655172413793,
entity/text/news/tweet/38820,387,189,0.592476489028,
entity/text/news/tweet/38826,373,238,0.746081504702,
entity/text/news/tweet/39005,213,-24,-0.0752351097179,
entity/text/news/tweet/38908,363,284,0.890282131661,
entity/text/news/tweet/38939,381,146,0.457680250784,
entity/text/news/tweet/38775,373,270,0.846394984326,
entity/text/news/tweet/38794,377,222,0.69592476489,
entity/text/news/tweet/38874,360,300,0.940438871473,
entity/text/news/tweet/38955,377,105,0.329153605016,
entity/text/news/tweet/38591,379,293,0.918495297806,
entity/text/news/tweet/38599,361,176,0.551724137931,
entity/text/news/tweet/38598,383,319,1,
entity/text/news/tweet/38678,362,237,0.742946708464,
entity/text/news/tweet/38778,372,86,0.269592476489,
entity/text/news/tweet/38739,349,294,0.921630094044,
entity/text/news/tweet/38670,383,162,0.507836990596,
entity/text/news/tweet/38994,369,265,0.830721003135,
entity/text/news/tweet/38650,366,56,0.175548589342,
entity/text/news/tweet/38731,372,38,0.119122257053,
entity/text/news/tweet/38895,377,139,0.435736677116,
entity/text/news/tweet/38818,350,280,0.877742946708,
entity/text/news/tweet/38752,366,277,0.868338557994,
entity/text/news/tweet/38756,366,311,0.974921630094,
entity/text/news/tweet/38805,389,239,0.74921630094,
entity/text/news/tweet/38580,362,161,0.504702194357,
entity/text/news/tweet/38940,380,238,0.746081504702,
entity/text/news/tweet/38585,385,115,0.360501567398,
