worker_ID,tweet_ID,more_novel,equally_novel,non_highlighted,irrational
33467170,entity/text/news/tweet/38585,0,0,1,0
30901412,entity/text/news/tweet/38585,0,0,1,0
27934334,entity/text/news/tweet/38585,0,0,1,0
23503585,entity/text/news/tweet/38585,0,1,0,0
29849805,entity/text/news/tweet/38585,1,0,0,0
33271440,entity/text/news/tweet/38585,0,0,1,0
6488338,entity/text/news/tweet/38585,0,0,0,0
4711962,entity/text/news/tweet/38585,0,1,0,0
20113482,entity/text/news/tweet/38585,0,0,1,0
19913374,entity/text/news/tweet/38585,0,1,0,0
31184650,entity/text/news/tweet/38585,0,1,0,0
21490235,entity/text/news/tweet/38585,0,0,0,0
28513920,entity/text/news/tweet/38585,0,0,0,0
29096504,entity/text/news/tweet/38585,0,1,0,0
32292681,entity/text/news/tweet/38585,0,1,0,0
33467170,entity/text/news/tweet/38585,0,0,1,0
30901412,entity/text/news/tweet/38585,0,0,1,0
27934334,entity/text/news/tweet/38585,0,0,1,0
29849805,entity/text/news/tweet/38585,1,0,0,0
23503585,entity/text/news/tweet/38585,0,1,0,0
33271440,entity/text/news/tweet/38585,0,0,1,0
4711962,entity/text/news/tweet/38585,0,1,0,0
6488338,entity/text/news/tweet/38585,0,0,0,0
20113482,entity/text/news/tweet/38585,0,0,1,0
19913374,entity/text/news/tweet/38585,0,1,0,0
31184650,entity/text/news/tweet/38585,0,1,1,0
21490235,entity/text/news/tweet/38585,0,1,0,0
28513920,entity/text/news/tweet/38585,0,1,0,0
29096504,entity/text/news/tweet/38585,0,1,0,0
32424428,entity/text/news/tweet/38585,1,0,0,0
33467170,entity/text/news/tweet/38670,0,0,1,0
30901412,entity/text/news/tweet/38670,0,0,1,0
27934334,entity/text/news/tweet/38670,0,0,1,1
29849805,entity/text/news/tweet/38670,0,1,0,0
23503585,entity/text/news/tweet/38670,0,1,0,0
33271440,entity/text/news/tweet/38670,0,0,1,0
4711962,entity/text/news/tweet/38670,0,1,0,0
6488338,entity/text/news/tweet/38670,1,0,0,0
20113482,entity/text/news/tweet/38670,0,0,0,0
19913374,entity/text/news/tweet/38670,0,1,0,0
31184650,entity/text/news/tweet/38670,0,1,0,0
21490235,entity/text/news/tweet/38670,1,0,0,0
28513920,entity/text/news/tweet/38670,0,0,0,0
29096504,entity/text/news/tweet/38670,0,1,0,0
32292681,entity/text/news/tweet/38670,0,1,0,0
28351359,entity/text/news/tweet/38670,1,0,0,0
32292681,entity/text/news/tweet/38670,0,1,0,0
32424428,entity/text/news/tweet/38670,0,1,0,0
11382239,entity/text/news/tweet/38670,0,1,0,0
31906954,entity/text/news/tweet/38670,0,1,0,0
32916723,entity/text/news/tweet/38670,0,1,0,0
30544555,entity/text/news/tweet/38670,0,1,0,0
13581319,entity/text/news/tweet/38670,1,0,0,0
32338429,entity/text/news/tweet/38670,0,1,0,0
