worker_ID,tweet_ID,more_novel,equally_novel,less_novel,NA
32338429,entity/text/news/tweet/38585,0,0,0,1
29849805,entity/text/news/tweet/38585,1,0,0,0
4711962,entity/text/news/tweet/38585,0,1,0,0
31743852,entity/text/news/tweet/38585,1,0,0,0
33761260,entity/text/news/tweet/38585,1,0,0,0
32424428,entity/text/news/tweet/38585,0,0,0,1
24449707,entity/text/news/tweet/38585,1,0,0,0
4688131,entity/text/news/tweet/38585,0,0,0,1
19913374,entity/text/news/tweet/38585,0,0,0,1
3587109,entity/text/news/tweet/38585,0,0,0,1
27934334,entity/text/news/tweet/38585,0,0,0,1
31256687,entity/text/news/tweet/38585,0,1,0,0
33538351,entity/text/news/tweet/38585,1,0,0,0
30326470,entity/text/news/tweet/38585,0,1,0,0
28524232,entity/text/news/tweet/38585,1,0,0,0
28524232,entity/text/news/tweet/38670,0,1,0,0
31906954,entity/text/news/tweet/38670,0,0,0,1
31827582,entity/text/news/tweet/38670,1,0,0,0
28351359,entity/text/news/tweet/38670,0,0,0,1
31304413,entity/text/news/tweet/38670,1,0,0,0
15577915,entity/text/news/tweet/38670,0,0,0,1
2143114,entity/text/news/tweet/38670,1,0,0,0
13581319,entity/text/news/tweet/38670,0,0,0,1
29155723,entity/text/news/tweet/38670,0,0,0,1
18990100,entity/text/news/tweet/38670,0,0,0,1
19854505,entity/text/news/tweet/38670,1,0,0,0
27753923,entity/text/news/tweet/38670,1,0,0,0
33294824,entity/text/news/tweet/38670,0,1,0,0
32916723,entity/text/news/tweet/38670,0,0,0,1
33230986,entity/text/news/tweet/38670,0,0,0,1
28351359,entity/text/news/tweet/38794,0,0,0,1
31906954,entity/text/news/tweet/38794,0,0,0,1
31304413,entity/text/news/tweet/38794,1,0,0,0
31827582,entity/text/news/tweet/38794,1,0,0,0
15577915,entity/text/news/tweet/38794,0,0,0,1
2143114,entity/text/news/tweet/38794,1,0,0,0
13581319,entity/text/news/tweet/38794,0,0,0,1
