worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
33761260,9,4,9,14,0.388888888888889,0.25,0,3.54,2.33,0.5887045179122519,0.3543066695004679,0
33538351,9,18,9,0,0,0.25,0,2.41,1.44,0.6603550146821491,0.4087175375765492,0
33294824,3,24,3,0,0,0.1,0,2.3,1.33,0.5485991486563807,0.38156483849578476,0
33230986,0,8,0,22,0.733333333333333,0,0,1,NONE,0.6644889810883529,0.4746376811594203,0
32916723,0,8,0,16,0.666666666666667,0,0,1,NONE,0.6604582650541796,0.4835069444444444,0
32424428,7,2,7,20,0.555555555555556,0.194444444444444,0,3.33,1.86,0.5964411170436487,0.3775708582547351,0
32338429,0,16,0,20,0.555555555555556,0,0,1.5,NONE,0.6117856548089442,0.43470012274360104,0
31906954,0,8,0,22,0.733333333333333,0,0,1,NONE,0.6537085363695387,0.4644927536231884,0
31827582,15,0,15,4,0.117647058823529,0.441176470588235,0,4.4,4.6,0.5598156887652428,0.3284255559255559,0
31743852,18,0,18,0,0,0.5,0,3.39,0,0.6126662183828444,0.39625969748216394,0
31304413,13,4,13,0,0,0.433333333333333,0,1.18,1.08,0.5932665680092359,0.4439982807259696,0
31256687,0,36,0,0,0,0,1,1.22,NONE,0.5300490435533481,0.4044672688422688,1
30326470,5,26,5,0,0,0.138888888888889,0,1.77,1,0.6296337405092203,0.42341351842461117,0
29849805,17,2,17,0,0,0.472222222222222,0,3.95,2.53,0.6602237338611343,0.3652494166486704,0
29155723,0,8,0,22,0.733333333333333,0,0,4.63,NONE,0.6623491406882996,0.38922436463220006,0
28524232,14,8,14,0,0,0.388888888888889,0,3.91,0,0.5898764874028731,0.34186133811706865,0
28351359,4,0,4,22,0.733333333333333,0.133333333333333,0,2.75,0,0.6456811452006408,0.41764964948603395,0
27934334,6,4,6,20,0.555555555555556,0.166666666666667,0,5.6,0,0.614624113734331,0.34814518226468943,1
27753923,15,0,15,0,0,0.5,0,0.53,0.47,0.5191575554486292,0.43695652173913047,0
24449707,17,2,17,0,0,0.472222222222222,0,4.63,2.82,0.6890219490747158,0.3858178018504106,0
21662236,0,8,0,18,0.692307692307692,0,0,1.38,NONE,0.6847393557956024,0.47538018228439416,0
20113482,0,0,0,6,1,0,1,NONE,NONE,0.7114175310280427,0.4683908045977011,1
19913374,0,16,0,20,0.555555555555556,0,0,1,NONE,0.5950816978253288,0.46944444444444444,0
19854505,15,0,15,0,0,0.5,0,2.07,0,0.46631016584317764,0.33510660535117054,1
18990100,4,0,4,22,0.733333333333333,0.133333333333333,0,6.25,3.75,0.6594390675204382,0.3678302652673362,0
15577915,4,0,4,22,0.733333333333333,0.133333333333333,0,2.5,0,0.6588254802629044,0.4427530623233275,0
13581319,4,0,4,22,0.733333333333333,0.133333333333333,0,2.5,0,0.6588254802629044,0.44275306232332756,0
4711962,0,36,0,0,0,0,1,1,NONE,0.6102368186722973,0.49930555555555556,1
4688131,8,0,8,20,0.555555555555556,0.222222222222222,0,1.63,0,0.49785333212496186,0.3501344141969142,1
3587109,0,16,0,20,0.555555555555556,0,0,1.88,NONE,0.5879837040758296,0.41046346970260017,0
2143114,15,0,15,0,0,0.5,0,1,0,0.5949925652391634,0.49057971014492757,0
