_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,clickedforval,ev0a,ev0b,ev1a,ev1b,ev2a,ev2b,ev3a,ev3b,ev4a,ev4b,ev5a,ev5b,ev6a,ev6b,ev7a,ev7b,ev8a,ev8b,event0,event1,event2,event3,event4,event5,event6,event7,event8,eventb0,eventb1,eventb2,eventb3,eventb4,eventb5,eventb6,eventb7,eventb8,forvalidation,selectedforval,tweet1irrelevant,tweet1isgreyed,tweet1novel,tweet2irrelevant,tweet2isgreyed,tweet2novel,tweetsequal,orig__golden,author1,author2,input,ptid1,ptid2,seedindex1,seedindex2,text1,text2,tweet1date,tweet1irrelevant_gold,tweet1irrelevant_gold_reason,tweet2date,tweet2irrelevant_gold,tweet2irrelevant_gold_reason
776132751,8/22/2015 01:38:35,false,1718348792,,8/22/2015 01:38:09,false,instagc,1,31184650,USA,IA,Mason City,173.26.179.94,true,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 01:39:44,false,1718349895,,8/22/2015 01:37:54,false,clixsense,1,8260660,USA,TX,Chilton,184.63.81.38,true,,1,,2,,3,,4,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 01:50:39,false,1718359512,,8/22/2015 01:49:47,false,clixsense,1,6488338,USA,HI,Honolulu,72.130.214.250,true,2,5,1,4,3,6,4,8,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 02:57:25,false,1718415038,,8/22/2015 02:56:55,false,neodev,1,33761260,USA,DE,Wilmington,199.115.114.218,true,0,5,2,12,5,13,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 03:04:06,false,1718422429,,8/22/2015 03:03:38,false,instagc,0.9167,31861996,USA,FL,Homestead,73.46.199.178,true,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 03:07:36,false,1718426192,,8/22/2015 03:07:07,false,instagc,1,18634892,USA,KS,Wichita,208.189.35.200,true,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 03:41:30,false,1718463186,,8/22/2015 03:37:23,false,prodege,1,33565158,USA,OK,Woodward,107.142.162.102,true,1,0,2,1,3,9,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 03:55:59,false,1718474083,,8/22/2015 03:55:47,false,clixsense,1,33271440,USA,DE,,108.59.8.217,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,false,false,false,false,true,true,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 04:18:22,false,1718487255,,8/22/2015 04:17:01,false,tremorgames,1,31906954,USA,MA,Revere,73.219.221.249,true,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 04:45:59,false,1718503056,,8/22/2015 04:45:41,false,instagc,0.9167,22166359,CAN,BC,Surrey,75.155.223.94,true,1,1,2,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 04:46:07,false,1718503119,,8/22/2015 04:45:12,false,neodev,1,28513920,CAN,AB,Edmonton,208.123.223.9,true,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 04:57:36,false,1718509910,,8/22/2015 04:57:15,false,gifthunterclub,1,30901412,GBR,G5,Birchington,88.110.75.79,true,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 04:59:09,false,1718510823,,8/22/2015 04:58:49,false,instagc,1,20043586,USA,NY,Gansevoort,67.248.253.125,true,4,0,,1,,9,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 05:08:24,false,1718516308,,8/22/2015 05:08:05,false,elite,1,33798502,USA,VA,Manassas,192.96.205.136,true,0,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132751,8/22/2015 06:32:20,false,1718562068,,8/22/2015 06:30:08,false,clixsense,1,9653950,CAN,SK,Yorkton,207.47.178.70,true,1,0,2,2,3,1,4,3,,4,,5,,6,,8,,9,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,201,entity/text/news/tweet/38678,entity/text/news/tweet/38599,1203tid011,1203tid021,#WhalingIsBullshit World’s whaling slaughter tallied #Whales #Oceans ,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:01:16 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:25:03,false,1718140062,,8/21/2015 23:24:40,false,instagc,1,19913374,CAN,ON,Woodbridge,174.112.153.114,true,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:32:07,false,1718152555,,8/21/2015 23:31:43,false,prodege,1,28103910,GBR,K3,Peterborough,90.208.151.209,true,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:32:09,false,1718152648,,8/21/2015 23:31:49,false,instagc,1,20312760,GBR,K1,Oldham,89.240.226.48,true,,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:33:24,false,1718154958,,8/21/2015 23:29:35,false,points4rewards,1,20113482,USA,PA,Philadelphia,162.208.49.45,true,3,6,4,5,5,9,6,8,12,,8,,9,,13,,11,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:42:31,false,1718171736,,8/21/2015 23:42:00,false,prodege,1,3587109,CAN,NS,Sydney,142.166.194.24,true,11,4,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:48:23,false,1718182517,,8/21/2015 23:48:04,false,tremorgames,1,24449707,CAN,QC,Laval,96.20.14.148,true,13,0,12,1,11,3,5,4,6,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/21/2015 23:49:23,false,1718184539,,8/21/2015 23:48:26,false,neodev,1,31827582,USA,CA,San Jose,23.27.220.130,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,false,true,true,false,true,true,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:06:43,false,1718222135,,8/22/2015 00:05:42,false,neodev,1,11382239,AUS,2,Strathfield,60.241.129.81,true,5,1,6,5,12,6,13,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:14:03,false,1718234624,,8/22/2015 00:13:17,false,elite,1,32292681,USA,CA,Torrance,66.171.228.88,true,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:16:30,false,1718238553,,8/22/2015 00:15:52,false,instagc,1,14086483,USA,CT,Groton,67.231.70.236,true,12,12,,13,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:30:56,false,1718261305,,8/22/2015 00:29:56,false,neodev,1,18990100,CAN,BC,Surrey,154.20.25.100,true,5,0,6,1,8,4,11,5,12,6,13,,2,,3,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:34:14,false,1718266626,,8/22/2015 00:32:43,false,clixsense,1,19294877,USA,GA,,172.56.0.49,true,2,,12,,3,,5,,6,,13,,8,,11,,9,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:39:19,false,1718274191,,8/22/2015 00:38:48,false,clixsense,1,31304413,CAN,BC,Kelowna,66.183.36.177,true,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:48:52,false,1718288650,,8/22/2015 00:47:13,false,neodev,1,15848372,AUS,2,Jannali,14.200.59.55,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,false,true,true,false,false,false,false,false,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132752,8/22/2015 00:55:45,false,1718297810,,8/22/2015 00:54:31,false,neodev,1,33727304,USA,NY,New York,192.81.208.119,true,3,5,11,6,12,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,202,entity/text/news/tweet/38767,entity/text/news/tweet/38599,1203tid012,1203tid021,@BBC_Travel: The still-active volcano of Deception Island in #Antarctica has a dangerous whaling past.,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 09:55:51 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:27:50,false,1718144843,,8/21/2015 23:27:23,false,instagc,1,19913374,CAN,ON,Woodbridge,174.112.153.114,true,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:33:25,false,1718154972,,8/21/2015 23:33:08,false,instagc,1,20312760,GBR,K1,Oldham,89.240.226.48,true,,8,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,true,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:33:51,false,1718155755,,8/21/2015 23:33:27,false,prodege,1,28103910,GBR,K3,Peterborough,90.208.151.209,true,2,5,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:44:37,false,1718175516,,8/21/2015 23:44:12,false,prodege,1,3587109,CAN,NS,Sydney,142.166.194.24,true,1,4,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:47:45,false,1718181364,,8/21/2015 23:43:11,false,points4rewards,1,20113482,USA,PA,Philadelphia,162.208.49.45,true,1,5,2,6,3,8,4,9,5,,6,,7,,8,,9,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:50:48,false,1718187615,,8/21/2015 23:50:34,false,tremorgames,1,24449707,CAN,QC,Laval,96.20.14.148,true,1,0,2,1,11,3,12,4,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/21/2015 23:52:32,false,1718191450,,8/21/2015 23:51:45,false,neodev,1,31827582,USA,CA,San Jose,23.27.220.130,true,2,4,11,5,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/22/2015 00:11:38,false,1718230954,,8/22/2015 00:10:08,false,neodev,1,11382239,AUS,2,Strathfield,60.241.129.81,true,1,5,2,6,3,8,4,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/22/2015 00:16:42,false,1718238873,,8/22/2015 00:16:06,false,elite,1,32292681,USA,CA,Torrance,66.171.228.88,true,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/22/2015 00:20:29,false,1718244798,,8/22/2015 00:19:18,false,instagc,1,14086483,USA,CT,Groton,67.231.70.236,true,13,13,12,14,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,false,false,false,false,true,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/22/2015 00:33:18,false,1718265171,,8/22/2015 00:32:46,false,neodev,1,18990100,CAN,BC,Surrey,154.20.25.100,true,2,1,3,0,4,4,6,5,8,6,9,,7,,1,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
776132753,8/22/2015 00:40:49,false,1718276353,,8/22/2015 00:40:28,false,clixsense,1,31304413,CAN,BC,Kelowna,66.183.36.177,true,2,5,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,validated,true,false,false,true,false,false,false,false,,,,203,entity/text/news/tweet/38739,entity/text/news/tweet/38599,1203tid013,1203tid021,@FinsandFluke: Norway #whale meat dumped in Japan after #pesticide finding  #whaling #whales #IWC,National Anthems of Great Current Whaling Nations - Faroe Islands -  #SeaShepherd #Tweet4Taiji #thecove,Thu Mar 12 10:34:05 +0000 2015,,,Thu Mar 12 15:09:39 +0000 2015,,
