tweet_ID,more_novel,equally_novel,less_novel,irrelevant
entity/text/news/tweet/38665,4,25,3,5
entity/text/news/tweet/38933,14,104,73,11
entity/text/news/tweet/38661,59,107,45,5
entity/text/news/tweet/38663,37,115,39,11
entity/text/news/tweet/38604,18,94,65,26
entity/text/news/tweet/38687,0,47,8,11
entity/text/news/tweet/38700,1,40,10,9
entity/text/news/tweet/38640,41,106,52,4
entity/text/news/tweet/38628,62,110,40,3
entity/text/news/tweet/38666,8,45,5,4
entity/text/news/tweet/38786,9,6,75,7
entity/text/news/tweet/38927,3,43,12,8
entity/text/news/tweet/38881,9,48,4,5
entity/text/news/tweet/38745,10,45,4,9
entity/text/news/tweet/38626,23,101,59,18
entity/text/news/tweet/38879,53,106,45,2
entity/text/news/tweet/38870,98,112,7,3
entity/text/news/tweet/38950,6,25,1,2
entity/text/news/tweet/38876,63,120,18,6
entity/text/news/tweet/38986,4,26,3,3
entity/text/news/tweet/38776,33,104,68,12
entity/text/news/tweet/38676,60,26,12,3
entity/text/news/tweet/38677,45,101,60,7
entity/text/news/tweet/38758,61,108,31,11
entity/text/news/tweet/38750,94,95,12,5
entity/text/news/tweet/38634,0,28,5,1
entity/text/news/tweet/38632,7,43,10,3
entity/text/news/tweet/38961,12,90,90,21
entity/text/news/tweet/38862,28,107,35,15
entity/text/news/tweet/38867,50,122,34,4
entity/text/news/tweet/38865,16,43,1,3
entity/text/news/tweet/38690,1,24,3,9
