tweet_id,count,score,normalised_score	
entity/text/news/tweet/38665,37,26,0.128078817734
entity/text/news/tweet/38933,202,45,0.221674876847
entity/text/news/tweet/38661,216,121,0.5960591133
entity/text/news/tweet/38663,202,113,0.556650246305
entity/text/news/tweet/38604,203,47,0.231527093596
entity/text/news/tweet/38687,66,39,0.192118226601
entity/text/news/tweet/38700,60,31,0.152709359606
entity/text/news/tweet/38640,203,95,0.467980295567
entity/text/news/tweet/38628,215,132,0.650246305419
entity/text/news/tweet/38666,62,48,0.23645320197
entity/text/news/tweet/38786,97,-60,-0.295566502463
entity/text/news/tweet/38927,66,34,0.167487684729
entity/text/news/tweet/38881,66,53,0.261083743842
entity/text/news/tweet/38745,68,51,0.251231527094
entity/text/news/tweet/38626,201,65,0.320197044335
entity/text/news/tweet/38879,206,114,0.56157635468
entity/text/news/tweet/38870,220,203,1.0
entity/text/news/tweet/38950,34,30,0.147783251232
entity/text/news/tweet/38876,207,165,0.812807881773
entity/text/news/tweet/38986,36,27,0.133004926108
entity/text/news/tweet/38776,217,69,0.339901477833
entity/text/news/tweet/38676,101,74,0.364532019704
entity/text/news/tweet/38677,213,86,0.423645320197
entity/text/news/tweet/38758,211,138,0.679802955665
entity/text/news/tweet/38750,206,177,0.871921182266
entity/text/news/tweet/38634,34,23,0.113300492611
entity/text/news/tweet/38632,63,40,0.197044334975
entity/text/news/tweet/38961,213,12,0.0591133004926
entity/text/news/tweet/38862,185,100,0.492610837438
entity/text/news/tweet/38867,210,138,0.679802955665
entity/text/news/tweet/38865,63,58,0.285714285714
entity/text/news/tweet/38690,37,22,0.108374384236
