tweet_id,count,score,normalised_score,
entity/text/news/tweet/38665,37,13.5,0.0918367346939,
entity/text/news/tweet/38933,202,-7,-0.047619047619,
entity/text/news/tweet/38661,216,67.5,0.459183673469,
entity/text/news/tweet/38663,202,55.5,0.377551020408,
entity/text/news/tweet/38604,203,0,0,
entity/text/news/tweet/38687,66,15.5,0.105442176871,
entity/text/news/tweet/38700,60,11,0.0748299319728,
entity/text/news/tweet/38640,203,42,0.285714285714,
entity/text/news/tweet/38628,215,77,0.52380952381,
entity/text/news/tweet/38666,62,25.5,0.173469387755,
entity/text/news/tweet/38786,97,-63,-0.428571428571,
entity/text/news/tweet/38927,66,12.5,0.0850340136054,
entity/text/news/tweet/38881,66,29,0.197278911565,
entity/text/news/tweet/38745,68,28.5,0.19387755102,
entity/text/news/tweet/38626,201,14.5,0.0986394557823,
entity/text/news/tweet/38879,206,61,0.414965986395,
entity/text/news/tweet/38870,220,147,1,
entity/text/news/tweet/38950,34,17.5,0.119047619048,
entity/text/news/tweet/38876,207,105,0.714285714286,
entity/text/news/tweet/38986,36,14,0.0952380952381,
entity/text/news/tweet/38776,217,17,0.115646258503,
entity/text/news/tweet/38676,101,61,0.414965986395,
entity/text/news/tweet/38677,213,35.5,0.241496598639,
entity/text/news/tweet/38758,211,84,0.571428571429,
entity/text/news/tweet/38750,206,129.5,0.880952380952,
entity/text/news/tweet/38634,34,9,0.0612244897959,
entity/text/news/tweet/38632,63,18.5,0.125850340136,
entity/text/news/tweet/38961,213,-33,-0.224489795918,
entity/text/news/tweet/38862,185,46.5,0.316326530612,
entity/text/news/tweet/38867,210,77,0.52380952381,
entity/text/news/tweet/38865,63,36.5,0.248299319728,
entity/text/news/tweet/38690,37,10,0.0680272108844,
