worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,manually_checked,1and2,1or2_3or4or5,4and5,avg_irr50
33761260,16,2,16,2,0.0555555555555556,0.444444444444444,0,3.56,1.75,0.6486957647090672,0.4451123764453352,0,1,0,0,0,0
33727304,17,2,17,0,0,0.472222222222222,0,3.32,0,0.7566069622217635,0.5148315118643091,0,0,0,0,0,0
33294824,4,28,4,0,0,0.111111111111111,0,1.47,1,0.8157896010006302,0.6188475899524779,0,0,0,0,0,0
33271440,0,0,0,36,1,0,1,NONE,NONE,0.12377692427754942,0.09215885947046842,1,1,1,0,0,0
33115750,14,8,14,0,0,0.388888888888889,0,3.82,1.29,0.6792663193104677,0.4464291886259395,0,0,0,0,0,0
33081699,0,28,0,0,0,0,1,1,NONE,0.8279861622095052,0.7118126272912423,0,2,0,0,0,0
32633078,2,24,2,0,0,0.0714285714285714,0,3,1,0.8115826130552678,0.5564118766925539,0,0,0,0,0,0
32352104,5,16,5,10,0.277777777777778,0.138888888888889,0,1,1,0.6964060271986363,0.6135437881873727,0,0,0,0,0,0
32338429,0,36,0,0,0,0,1,1.42,NONE,0.8380024665049526,0.667015808360004,0,0,0,0,0,0
32292681,0,28,0,0,0,0,1,1,NONE,0.804030995131497,0.6883910386965376,0,2,0,0,0,0
32281591,9,16,9,2,0.0555555555555556,0.25,0,3.44,2.33,0.6843308851000873,0.4690585349509563,0,0,0,0,0,0
32053642,13,2,13,0,0,0.464285714285714,0,4.33,2.38,0.7514765726339881,0.48889577148232943,0,0,0,0,0,0
31906954,0,28,0,0,0,0,1,1,NONE,0.7967573703572762,0.6832993890020366,0,1,0,0,0,0
31861996,1,24,1,2,0.0714285714285714,0.0357142857142857,0,1,1,0.49997674760298416,0.40682281059063136,0,1,0,0,0,0
31827582,13,0,13,2,0.0714285714285714,0.464285714285714,0,3.38,3.31,0.692016204050308,0.4565674793338924,0,0,0,0,0,0
31743852,18,0,18,0,0,0.5,0,2.5,0,0.767194584787095,0.5485445477808003,0,0,0,0,0,0
31613324,0,34,0,2,0.0555555555555556,0,0,1.24,NONE,0.6563615651782438,0.527432241892527,0,0,0,0,0,0
31256687,0,36,0,0,0,0,1,1.25,NONE,0.6555924972728159,0.5478152194038141,0,2,0,0,0,0
31184650,0,26,0,2,0.0714285714285714,0,0,0.96,NONE,0.7100624867642076,0.6125254582484725,0,2,0,0,0,0
30326470,2,6,2,10,0.5,0.1,0,2.25,1,0.5076846889746504,0.4021436525612472,0,0,0,0,0,0
30312592,0,34,0,2,0.0555555555555556,0,0,1,NONE,0.7737111748453779,0.6736252545824848,0,2,0,0,0,0
29849805,16,2,16,2,0.0555555555555556,0.444444444444444,0,4,2.56,0.7021412009857382,0.46006146348559784,0,0,0,0,0,0
29155723,11,6,11,0,0,0.392857142857143,0,6.53,5.09,0.7332375570586571,0.4447604816989027,0,0,0,0,0,0
29096504,0,36,0,0,0,0,1,2.25,NONE,0.8279689845100116,0.5862994775524661,0,0,0,0,0,0
28755767,16,4,16,0,0,0.444444444444444,0,4,0,0.7523184206248701,0.49459066617926095,0,0,0,0,0,0
28513920,0,30,0,6,0.166666666666667,0,0,1,NONE,0.8279861622095052,0.7118126272912423,0,0,0,0,0,0
28351359,11,0,11,14,0.388888888888889,0.305555555555556,0,2.27,0,0.5342912228995016,0.4397148676171079,0,0,0,0,0,0
28103910,2,12,2,20,0.555555555555556,0.0555555555555556,0,1.14,1,0.6070840571051388,0.5313136456211813,0,0,0,0,0,0
27934334,6,8,6,16,0.444444444444444,0.166666666666667,0,4.71,0.5,0.6165871019159881,0.40694134022800005,0,0,0,0,0,0
27753923,18,0,18,0,0,0.5,0,1,1,0.7348976555137486,0.6578411405295316,0,0,0,0,0,0
25257275,0,20,0,0,0,0,1,1,NONE,0.8267286242327611,0.7065701559020043,0,2,0,0,0,0
