tweet_ID,more_novel,equally_novel,less_novel,irrelevant
entity/text/news/tweet/38714,19,104,3,6
entity/text/news/tweet/38729,3,60,66,8
entity/text/news/tweet/38977,23,96,8,3
entity/text/news/tweet/38664,12,77,25,15
entity/text/news/tweet/38654,14,89,11,10
entity/text/news/tweet/38719,22,96,7,2
entity/text/news/tweet/38722,41,72,26,2
entity/text/news/tweet/38997,21,94,8,2
entity/text/news/tweet/38837,28,86,9,2
entity/text/news/tweet/38821,19,84,38,1
entity/text/news/tweet/38594,17,95,12,4
entity/text/news/tweet/38621,19,85,25,3
