tweet_id,count,score,normalised_score	,
entity/text/news/tweet/38714,132,120,1,
entity/text/news/tweet/38729,137,-3,-0.025,
entity/text/news/tweet/38977,130,111,0.925,
entity/text/news/tweet/38664,129,64,0.533333333333,
entity/text/news/tweet/38654,124,92,0.766666666667,
entity/text/news/tweet/38719,127,111,0.925,
entity/text/news/tweet/38722,141,87,0.725,
entity/text/news/tweet/38997,125,107,0.891666666667,
entity/text/news/tweet/38837,125,105,0.875,
entity/text/news/tweet/38821,142,65,0.541666666667,
entity/text/news/tweet/38594,128,100,0.833333333333,
entity/text/news/tweet/38621,132,79,0.658333333333,
