tweet_id,count,score,normalised_score	,
entity/text/news/tweet/38714,132,68,1,
entity/text/news/tweet/38729,137,-33,-0.485294117647,
entity/text/news/tweet/38977,130,63,0.926470588235,
entity/text/news/tweet/38664,129,25.5,0.375,
entity/text/news/tweet/38654,124,47.5,0.698529411765,
entity/text/news/tweet/38719,127,63,0.926470588235,
entity/text/news/tweet/38722,141,51,0.75,
entity/text/news/tweet/38997,125,60,0.882352941176,
entity/text/news/tweet/38837,125,62,0.911764705882,
entity/text/news/tweet/38821,142,23,0.338235294118,
entity/text/news/tweet/38594,128,52.5,0.772058823529,
entity/text/news/tweet/38621,132,36.5,0.536764705882,
