worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer,manually_checked,1and2,1or2_3or4or5,4and5,avg_irr50,avg_nov75
34179036,0,20,0,10,0.333333333333333,0,0,5.65,NONE,0.5159136465505487,0.32842401599961285,1,0,1,0,0,0,0
33793607,0,30,0,0,0,0,1,2.23,NONE,0.8391055487416346,0.6238296106102434,0,0,0,0,0,0,0
33727304,14,2,14,0,0,0.466666666666667,0,4.06,0,0.686934332295174,0.4795707982350581,0,0,0,0,0,0,0
33538351,5,26,5,0,0,0.138888888888889,0,1.74,1.2,0.8114931576930156,0.6210509706899598,0,0,0,0,0,0,0
33397209,0,36,0,0,0,0,1,1,NONE,0.8503998440980742,0.7734657039711192,0,1,0,0,0,0,0
32352104,0,30,0,6,0.166666666666667,0,0,0.97,NONE,0.709284125352562,0.6453068592057762,0,0,0,0,0,0,0
32053642,4,0,4,0,0,0.5,0,4.75,3,0.6800277636520964,0.46643725948323256,0,0,0,0,0,0,0
31906954,0,30,0,0,0,0,1,1,NONE,0.8694519402978154,0.7897111913357402,0,1,0,0,0,0,0
31861996,0,6,0,0,0,0,1,1,NONE,0.5881906586992739,0.49683544303797467,1,0,0,1,0,0,0
31613324,0,36,0,0,0,0,1,1.03,NONE,0.606631419692574,0.516245487364621,1,1,0,1,0,0,0
28513920,0,32,0,4,0.111111111111111,0,0,1,NONE,0.8195624389461142,0.7527075812274369,0,2,0,0,0,0,0
28351359,18,0,18,0,0,0.5,0,2.56,0,0.5927508043048089,0.4982461281197743,0,0,0,0,0,0,0
27042527,1,0,1,0,0,0.5,0,7,7,0.7244392765987162,0.4346153846153846,0,0,0,0,0,0,0
25257275,0,36,0,0,0,0,1,1,NONE,0.8694519402978154,0.7897111913357402,0,1,0,0,0,0,0
24449707,18,0,18,0,0,0.5,0,3.39,3.61,0.7367211014908366,0.48522006545864654,0,0,0,0,0,0,0
24043308,9,16,9,2,0.0555555555555556,0.25,0,1.08,1,0.8098460346833243,0.7236949171967222,0,0,0,0,0,0,0
21875134,10,10,10,0,0,0.333333333333333,0,8,5.5,0.6957616852786388,0.43737813663578806,0,0,0,0,0,0,0
21665495,0,30,0,0,0,0,1,0.97,NONE,0.8694519402978154,0.7897111913357402,0,0,0,0,0,0,0
21662236,0,30,0,0,0,0,1,1,NONE,0.8573030169788778,0.7788808664259927,0,1,0,0,0,0,0
21613169,0,36,0,0,0,0,1,2.03,NONE,0.8455822858627215,0.6525270758122743,0,1,0,0,0,0,0
21490235,2,24,2,2,0.0666666666666667,0.0666666666666667,0,1.04,1,0.834373181737313,0.7689530685920578,0,1,0,0,0,0,0
20113482,7,8,7,8,0.266666666666667,0.233333333333333,0,5.53,4.29,0.5836548537552014,0.36504618336748296,1,0,1,0,0,0,0
19913374,0,10,0,0,0,0,1,1,NONE,0.8727683400148663,0.7921052631578948,0,0,0,0,0,0,0
19302668,18,0,18,0,0,0.5,0,1,1,0.7095445652697665,0.6868231046931408,0,2,0,0,0,0,0
19294877,1,10,1,0,0,0.0833333333333333,0,8.18,0,0.7423158492769274,0.47784795748651165,0,0,0,0,0,0,0
18990100,18,0,18,0,0,0.5,0,4.78,1.61,0.6592806437000107,0.44543353929572227,0,1,0,0,0,0,0
16101132,0,28,0,2,0.0666666666666667,0,0,0.5,NONE,0.7126481509698481,0.6380866425992779,0,1,0,0,0,0,0
13581319,5,0,5,0,0,0.5,0,1.6,0,0.6237329879960263,0.5557017543859649,0,0,0,0,0,0,0
9653950,3,22,3,2,0.0666666666666667,0.1,0,6.56,5.33,0.7247178092712061,0.45844087128169403,0,0,0,0,0,0,0
8260660,11,14,11,0,0,0.305555555555556,0,3.92,0.36,0.6775374024607945,0.4707309084643883,0,0,0,0,0,0,0
4711962,0,36,0,0,0,0,1,1,NONE,0.8503998440980742,0.7734657039711192,0,1,0,0,0,0,0
4688131,6,18,6,6,0.166666666666667,0.166666666666667,0,1.54,0,0.4729910004048152,0.414117921789402,1,0,1,0,0,0,0
3587109,0,36,0,0,0,0,1,1.03,NONE,0.8625487674170118,0.7842960288808665,0,1,0,0,0,0,0
2143114,18,0,18,0,0,0.5,0,0.94,0.06,0.6349148220553773,0.6064981949458483,0,0,0,0,0,0,0
