worker_ID,more_novel,equally_novel,less_novel,irrelevant,irr_behaviour,novelty_selection_percentage,same_answer,avg_novel_words,avg_NOT_novel_words,Novelty_Cosine,Novelty_Worker_Disagreement,spammer
33761260,15,6,15,0,0,0.416666666666667,0,4.76,3.13,0.5884471133566681,0.4047665275574723,0
33538351,11,8,11,0,0,0.366666666666667,0,3.32,1,0.7142098033921271,0.48146716686207414,0
33271440,0,0,0,30,1,0,1,NONE,NONE,0.10098302698304579,0.0821529745042493,1
33081699,0,30,0,0,0,0,1,1,NONE,0.7993859404694603,0.7060906515580736,1
32352104,3,6,3,18,0.6,0.1,0,1,1,0.39080232506315177,0.3774787535410765,1
32292681,0,30,0,0,0,0,1,1,NONE,0.8032339753939136,0.7089235127478752,1
31906954,0,30,0,0,0,0,1,1,NONE,0.8032339753939136,0.7089235127478752,1
31861996,0,36,0,0,0,0,1,1,NONE,0.5428401803078668,0.44263456090651554,1
31827582,18,0,18,0,0,0.5,0,1.06,1.22,0.7663721905920924,0.6719923136353732,0
31345986,0,10,0,0,0,0,1,1,NONE,0.82052070065344,0.7323369565217391,1
31304413,15,0,15,0,0,0.5,0,1.13,1.8,0.7576736951181148,0.6329018636384074,0
31256687,0,36,0,0,0,0,1,1,NONE,0.7993859404694603,0.7060906515580736,1
30901412,1,0,1,0,0,0.5,0,5,0,0.6770257897812051,0.4748677248677249,0
30779198,1,2,1,10,0.714285714285714,0.0714285714285714,0,6,7,0.3654332151334542,0.25568732388655757,1
28351359,18,0,18,0,0,0.5,0,2.67,0,0.5128053368003469,0.4273713970951931,0
28103910,1,34,1,0,0,0.0277777777777778,0,1.03,1,0.8051748696314779,0.6926091377932737,0
25257275,0,36,0,0,0,0,1,1,NONE,0.8032339753939136,0.7089235127478752,1
24449707,18,0,18,0,0,0.5,0,3.83,3.94,0.759676319627483,0.5012520140595287,0
22166359,15,0,15,0,0,0.5,0,2.67,0.93,0.5867774383723671,0.4347803071782409,0
21875134,14,8,14,0,0,0.388888888888889,0,7.55,4.57,0.7321678709141222,0.4277821164753053,0
21662236,0,24,0,6,0.2,0,0,1.08,NONE,0.6569232527077246,0.5626081740104403,0
20113482,11,4,11,4,0.133333333333333,0.366666666666667,0,6.07,3.45,0.6658141585237134,0.4272892517956458,0
20043586,5,20,5,6,0.166666666666667,0.138888888888889,0,4.52,4.4,0.5647452079819968,0.3840040966438759,0
19913374,0,36,0,0,0,0,1,1,NONE,0.8032339753939136,0.7089235127478752,1
19294877,10,2,10,0,0,0.454545454545455,0,8.25,0,0.6832774261634263,0.4275803490775772,0
18990100,18,0,18,0,0,0.5,0,6.94,2.89,0.7046141764237651,0.4371129094552384,0
18960682,5,26,5,0,0,0.138888888888889,0,6.68,6.6,0.7614023149461037,0.4411340990171512,0
18666417,14,4,14,4,0.111111111111111,0.388888888888889,0,7.72,0,0.6641498222011503,0.4068871755097384,0
18317462,17,2,17,0,0,0.472222222222222,0,4,0,0.7334106544544069,0.46157979306186486,0
16654434,2,0,2,0,0,0.5,0,3.5,1,0.6630641584549102,0.460376492194674,0
15439740,6,24,6,0,0,0.166666666666667,0,4.93,3.5,0.7666744039625066,0.4870894180866423,0
4688131,11,0,11,4,0.153846153846154,0.423076923076923,0,1.73,0,0.49804243895252165,0.41513901697895156,0
3587109,0,36,0,0,0,0,1,1,NONE,0.776161124967548,0.6840490797546013,1
