spammer,legit,total,removed
Day 1,,,
21,41,62,33.87
15,32,47,31.91
15,58,73,20.55
12,45,57,21.05
9,51,60,15.00
8,46,54,14.81
Day 2,,,
14,48,62,22.58
11,37,48,22.92
Day 3,,,
9,37,46,19.57
10,38,48,20.83
10,37,47,21.28
16,30,46,34.78
13,33,46,28.26
17,33,50,34.00
11,34,45,24.44
13,33,46,28.26
Day 4,,,
8,23,31,25.81
18,30,48,37.50
11,21,32,34.38
6,25,31,19.35
9,23,32,28.13
12,34,46,26.09
17,29,46,36.96
18,41,59,30.51
23,37,60,38.33
14,30,44,31.82
15,29,44,34.09
Day 5,,,
14,32,46,30.43
16,32,48,33.33
11,20,31,35.48
12,18,30,40.00
19,25,44,43.18
Day 6,,,
15,19,34,44.12
12,21,33,36.36
,,,29.41
,,,
,,,
,,,
