label,count,positive,negative
whaling,402,0.0,0.0
Whaling,185,0.0,0.0
Japan,161,0.0,0.0
Denmark,125,0.0,0.0
Faroes,103,0.0,0.0
Faroe,86,0.0,0.0
Whales,61,0.0,0.0
whales,60,0.0,0.0
's,52,0.0,0.0
tradition,48,0.0,0.0
dolphin,45,0.0,0.0
Nations,42,0.0,0.0
a+,42,0.0,0.0
Japanese,41,0.0,0.0
tourists,38,0.0,0.25
witness,38,0.0,0.0
IWC,35,0.0,0.0
pork,33,0.0,0.0
Whale,31,0.0,0.0
Canada,30,0.0,0.0
Grindadrap,28,0.0,0.0
Faroe Islands,28,0.0,0.0
century,27,0.125,0.0
Current,26,0.0,0.0
Humans,26,0.0,0.0
whale,26,0.0,0.0
Australian,25,0.0,0.0
International,25,0.0,0.0
Slaughter,24,0.0,0.0
Antarctic,23,0.0,0.0
hunting,22,0.0,0.0
National Anthems,22,0.0,0.0
Makah,22,0.0,0.0
commercial whaling,22,0.0,0.0
Support,21,0.0,0.0
support,21,0.0,0.0
National Anthems of Great Current Whaling Nations,21,0.0,0.0
Iceland,20,0.0,0.0
Earth,20,0.0,0.0
,19,0.0,0.0
t4Tai,19,0.0,0.0
Grind,19,0.0,0.5
23Twe,19,0.0,0.0
stand,19,0.0,0.0
Japanese Whaling,19,0.0,0.0
USA,19,0.0,0.0
Killed,18,0.0,0.5
20th century,18,0.0,0.0
killed,18,0.0,0.5
Big,18,0.25,0.125
Pro Whaling,17,0.0,0.0
U.S.,17,0.0,0.0
industry,17,0.0,0.0
meat,16,0.0,0.0
imports,16,0.0,0.0
amp,16,0.0,0.0
conservation,16,0.0,0.25
places,15,0.0,0.0
National+Anthems,14,0.0,0.0
visit,14,0.0,0.0
Great+Current+Whaling,14,0.0,0.0
Illegal,14,0.0,0.0
killing,14,0.0,0.0
animals,13,0.0,0.375
Faroe Grind,13,0.0,0.0
Big+Lie,13,0.0,0.0
cruel,13,0.0,0.0
study,12,0.125,0.125
boycott,12,0.0,0.0
volcano,12,0.0,0.0
sea,12,0.0,0.0
Deception Island,12,0.0,0.0
Island,12,0.0,0.0
Eclipse,12,0.0,0.0
Total Solar Eclipse,12,0.0,0.0
science,11,0.0,0.0
sciam,11,0.0,0.0
26amp,11,0.0,0.0
it!,11,0.0,0.0
solar eclipse,10,0.0,0.0
Korea,10,0.0,0.0
sinc,10,0.0,0.0
Commercial,10,0.0,0.0
culture,10,0.0,0.0
ling+%,10,0.0,0.0
3A+%2,10,0.0,0.0
t,10,0.0,0.0
es.,10,0.0,0.0
North Atlantic,10,0.0,0.0
Atlantic,10,0.0,0.0
Recipe,9,0.0,0.0
Norway,9,0.0,0.0
ships,9,0.0,0.0
Grenadines,9,0.0,0.0
Century,9,0.125,0.0
Government,9,0.0,0.0
slaughter,9,0.0,0.0
Waters,9,0.0,0.0
program,8,0.0,0.0
nation,8,0.0,0.0
20th Century,8,0.0,0.0
visitors,8,0.0,0.0
whale watch,8,0.0,0.0
people,7,0.0,0.0
controversial,7,0.625,0.125
history,7,0.0,0.0
whaling ships,7,0.0,0.0
Norwegian,7,0.0,0.0
whale watching,7,0.0,0.0
Makah Whaling,7,0.0,0.0
sustainable,7,0.625,0.0
Islands,7,0.0,0.0
@TakePart,7,0.0,0.0
Dolphin,7,0.0,0.0
Stew,6,0.375,0.25
Financial Support,6,0.0,0.0
Steak,6,0.0,0.0
large,6,0.0,0.0
Saint Vincent,6,0.0,0.0
illegal,6,0.0,0.0
aware,6,0.5,0.0
Anthems,6,0.0,0.0
active volcano,6,0.0,0.0
Alaska,6,0.0,0.0
estimate,6,0.0,0.25
The Faroes,6,0.0,0.0
Facts,6,0.0,0.0
Commentary,6,0.0,0.0
Sea,6,0.0,0.0
maintain,6,0.0,0.0
urge,6,0.0,0.0
Faroes Grind,6,0.0,0.0
traditional,6,0.0,0.0
Solar,6,0.0,0.0
News,6,0.0,0.0
National,6,0.0,0.0
moratorium,6,0.375,0.0
protein,6,0.0,0.0
Solar Eclipse,6,0.0,0.0
oil,6,0.0,0.125
Deception,6,0.0,0.625
hunt,6,0.0,0.0
Recipes,6,0.0,0.0
Russia,6,0.0,0.0
funds,6,0.0,0.0
dangerous,6,0.0,0.75
Mar,6,0.0,0.0
Norwegian Government,6,0.0,0.0
Onassis,5,0.0,0.0
eclipse,5,0.0,0.0
sign,5,0.0,0.0
Lie,5,0.0,0.0
animal,5,0.0,0.375
Hunting,5,0.0,0.0
dolphin meat,5,0.0,0.0
view,5,0.0,0.0
the Faroe Islands,5,0.0,0.0
Jackie,5,0.0,0.0
%0A,5,0.0,0.0
harpoon,5,0.0,0.0
wild,5,0.0,0.25
fleet,5,0.0,0.0
